نوع العقار,الغرض,المدينة,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,تجاري, الرياض , حي ظهرة نمار ,شمالية,300,3300,990000
أرض,تجاري, الرياض , حي النخيل ,ثلاث شوارع,10000,8000,80000000
أرض,تجاري, الرياض , حي اليرموك ,جنوبية,1089,3300,3593700
أرض,تجاري, حريملاء, الرياض ,غربية,472,3300,1557600
أرض,تجاري, الرياض , حي المعيزلة ,جنوبية,550,3000,1650000
أرض,تجاري, الرياض , حي اليرموك ,جنوبية,1089,3200,3484800
أرض,تجاري, الرياض , حي اليرموك ,شمالية شرقية,300,3200,960000
أرض,تجاري, الرياض , حي اليرموك ,غربية,409,1000,409000
أرض,تجاري, الرياض , حي اليرموك ,جنوبية,1089,3250,3539250
أرض,تجاري, امارة منطقة الرياض, الرياض ,شرقية,585,650,380250
أرض,تجاري, الرياض , حي الرمال ,شمالية شرقية,3092,650,2009800
أرض,تجاري, الرياض , حي المهدية ,غربية,409,2570,1051130
أرض,تجاري, الرياض , حي اليرموك ,جنوبية,1089,3200,3484800
أرض,تجاري, الرياض , حي النرجس ,غربية,435,3200,1392000
أرض,تجاري, حريملاء, الرياض ,شمالية,375,3200,1200000
أرض,تجاري, امارة منطقة الرياض, الرياض ,شمالية,361,3200,1155200
أرض,تجاري وسكني, الرياض , حي الرمال ,شمالية,381,2500,952500
أرض,تجاري وسكني, حي عريض , طريق النفود ,ثلاث شوارع,495,2500,1237500
أرض,تجاري وسكني, حي عريض , طريق النفود ,جنوبية,472,2500,1180000
أرض,تجاري وسكني, امارة منطقة الرياض, الرياض ,جنوبية غربية,400,925,370000
أرض,تجاري وسكني, الرياض , حي الشرق ,شرقية,450,925,416250
أرض,تجاري وسكني, الرياض , حي الرمال ,جنوبية,412,3100,1277200
أرض,تجاري وسكني, الرياض , حي عريض ,غربية,450,3100,1395000
أرض,تجاري وسكني, الرياض , حي عريض ,شمالية,517,3100,1602700
أرض,سكني, حريملاء, الرياض ,جنوبية,800,1375,1100000
أرض,سكني, الرياض , حي عريض ,شمالية شرقية,2048,1709,3500032
أرض,سكني, الرياض , حي الدار البيضاء ,جنوبية,4675,1709,7989575
أرض,سكني, الرياض , حي النرجس ,شرقية,450,4900,2205000
أرض,تجاري, الرياض , حي المونسية ,شرقية,750,4200,3150000
أرض,تجاري, امارة منطقة الرياض, الرياض ,شمالية شرقية,400,950,380000
أرض,تجاري, الرياض , حي النرجس ,شمالية,450,4700,2115000
أرض,سكني, الرياض , حي النرجس ,شمالية,450,4300,1935000
أرض,سكني, الرياض , حي الرمال ,شرقية,1560,6150,9594000
