نوع العقار,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,المساحة,مطبخ,مدخل سيارة,مصعد,الدور,عمر العقار,مؤثثة,السعر الاجمالي
شقة, حي النخيل ,غير معروف,5,1,4,216, لا يوجد, لا يوجد, لا يوجد,أرضي,3.0,0,1100000
شقة, الرياض ,شرقية,3,1,2,104,يوجد,يوجد,يوجد,3,7.0,0,715000
شقة, حي الملقا ,غير معروف,2,1,2,94,يوجد,يوجد,يوجد,أرضي,0.0,1,1300000
شقة, حي العارض ,غير معروف,3,1,3,176, لا يوجد, لا يوجد, لا يوجد,علوي,0.0,0,1079000
شقة, حي المصيف ,شرقية,2,1,2,103, لا يوجد, لا يوجد,يوجد,غير محدد,0.0,0,849000
شقة, حي النرجس ,غير معروف,3,0,3,131,يوجد, لا يوجد, لا يوجد,أرضي,1.0,0,890000
شقة, حي النرجس ,ثلاث شوارع,2,1,2,151,يوجد, لا يوجد,يوجد,أرضي,0.0,0,896000
شقة, الرياض ,جنوبية,4,1,3,151,يوجد,يوجد,يوجد,3,0.0,1,1369000
شقة, حي النرجس ,غير معروف,3,2,4,145, لا يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,1100000
شقة, حي العليا ,ثلاث شوارع,4,2,5+,217,يوجد,يوجد,يوجد,غير محدد,5.0,1,3500000
شقة, حي النرجس ,شمالية,3,1,3,240,يوجد,يوجد, لا يوجد,أرضي,0.0,0,1350000
شقة, حي العارض ,شمالية,3,1,3,120,يوجد,يوجد,يوجد,ارضي,0.0,0,1000000
شقة, حي النرجس ,غير معروف,3,1,3,214, لا يوجد,يوجد,يوجد,علوي,0.0,0,959000
شقة, حي الفلاح ,غير معروف,3,1,3,132, لا يوجد, لا يوجد, لا يوجد,علوي,0.0,0,1065000
شقة, حي الملقا ,شرقية,3,1,4,148,يوجد, لا يوجد,يوجد,علوي,0.0,1,1350000
شقة, حي العارض ,غير معروف,3,1,2,109,يوجد, لا يوجد,يوجد,علوي,4.0,0,820000
شقة, حي الملقا ,شمالية,3,1,3,161, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,1429000
شقة, حي العارض ,جنوبية,3,1,3,200,يوجد, لا يوجد,يوجد,أرضي,0.0,0,1100000
شقة, حي الملقا ,غير معروف,3,1,3,114, لا يوجد, لا يوجد, لا يوجد,غير محدد,0.0,0,850000
شقة, حي الملقا ,غربية,3,1,3,210,يوجد, لا يوجد,يوجد,غير محدد,0.0,1,1700000
شقة, حي النرجس ,شرقية,3,1,3,132,يوجد, لا يوجد,يوجد,أرضي,0.0,0,985000
شقة, حي حطين ,شمالية غربية,3,2,3,155,يوجد, لا يوجد, لا يوجد,علوي,0.0,0,1260000
شقة, حي النرجس ,غير معروف,2,2,2,129, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,830000
شقة, الرياض ,غير معروف,4,1,3,140, لا يوجد,يوجد,يوجد,علوي,0.0,0,1250000
شقة, حي العارض ,جنوبية,3,2,3,147,يوجد,يوجد,يوجد,غير محدد,0.0,0,959000
شقة, حي الملقا ,غربية,3,2,3,117,يوجد, لا يوجد,يوجد,أرضي,0.0,0,1179000
شقة, حي حطين ,شرقية,3,1,2,104,يوجد,يوجد,يوجد,3,0.0,0,745000
شقة, حي الندى ,شرقية,3,1,3,135,يوجد,يوجد,يوجد,أرضي,3.0,0,1300000
شقة, حي الملقا ,شمالية,3,1,3,129,يوجد, لا يوجد,يوجد,علوي,0.0,1,1200000
شقة, حي العارض ,جنوبية غربية,4,1,4,188, لا يوجد,يوجد,يوجد,ثاني,0.0,0,1200000
شقة, الرياض ,غير معروف,3,1,3,134, لا يوجد,يوجد,يوجد,أرضي,0.0,0,1350000
شقة, الرياض ,شرقية,3,1,5+,428,يوجد, لا يوجد, لا يوجد,علوي,0.0,0,1650000
شقة, حي الملك فهد ,غير معروف,3,1,3,100,يوجد, لا يوجد,يوجد,علوي,0.0,0,980000
شقة, الرياض ,شمالية,3,1,2,104, لا يوجد,يوجد,يوجد,3,1.0,0,715000
شقة, حي الياسمين ,شمالية,4,1,4,204,يوجد, لا يوجد, لا يوجد,أرضي,13.0,1,1550000
شقة, حي النخيل ,غير معروف,3,2,3,169,يوجد, لا يوجد, لا يوجد,3,0.0,0,1490000
شقة, حي العارض ,شرقية,3,1,4,341, لا يوجد, لا يوجد, لا يوجد,ارضي,0.0,0,1450000
شقة, حي الوادي ,جنوبية,3,1,3,126,يوجد, لا يوجد, لا يوجد,علوي,2.0,1,970000
شقة, حي العارض ,شرقية,3,1,3,120,يوجد,يوجد,يوجد,ارضي,0.0,0,1100000
شقة, الرياض ,غير معروف,4,1,3,126,يوجد, لا يوجد,يوجد,علوي,7.0,1,1350000
شقة, حي الملقا ,شرقية,4,2,4,232,يوجد,يوجد,يوجد,3,1.0,1,1500000
شقة, حي العقيق ,شرقية,3,1,3,135,يوجد, لا يوجد,يوجد,علوي,11.0,1,850000
شقة, الرياض ,جنوبية,3,2,3,130,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,840000
شقة, حي المصيف ,شمالية شرقية,3,1,2,107,يوجد,يوجد,يوجد,أرضي,7.0,0,750000
شقة, حي النفل ,شمالية,2,1,3,93, لا يوجد, لا يوجد,يوجد,4,0.0,0,1070000
شقة, حي الملقا ,شمالية غربية,3,2,3,124, لا يوجد, لا يوجد,يوجد,3,0.0,0,950000
شقة, حي الملقا ,غير معروف,3,1,3,140,يوجد,يوجد,يوجد,علوي,0.0,0,850000
شقة, حي النرجس ,غربية,6,2,3,256, لا يوجد, لا يوجد,يوجد,علوي,0.0,0,1399000
شقة, حي النرجس ,غير معروف,3,3,3,130,يوجد, لا يوجد, لا يوجد,أرضي,0.0,0,890000
شقة, حي العقيق ,شمالية,4,2,4,139,يوجد, لا يوجد,يوجد,غير محدد,8.0,1,800000
شقة, حي النفل ,شمالية,3,1,3,126, لا يوجد, لا يوجد, لا يوجد,غير محدد,2.0,0,970000
