,نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
56,فيلا, الرياض , حي العارض ,جنوبية,5,2,5+,لا يوجد,360.0,1,1,1,1,1,1,0,0,1,1,2850000
57,فيلا, الرياض , حي العارض ,شمالية,7+,5,5+,لا يوجد,630.0,0,1,1,0,1,1,0,0,1,0,6050000
58,فيلا, الرياض , حي التعاون ,غربية,4,7+,5+,20.0,420.0,1,1,1,1,0,1,0,0,1,1,5000000
59,فيلا, الرياض , حي التعاون ,شمالية,7+,2,5+,18.0,300.0,1,1,1,1,0,0,0,0,1,1,2850000
60,فيلا, الرياض , حي العارض ,شمالية شرقية,7+,3,5+,لا يوجد,221.0,1,0,1,1,0,1,0,0,1,1,2200000
61,فيلا, الرياض , حي العارض ,شمالية,7+,3,5+,لا يوجد,300.0,1,0,1,1,0,1,0,0,1,1,2300000
62,فيلا, الرياض , حي العارض ,شمالية,6,3,5+,لا يوجد,204.0,1,0,1,0,0,1,0,0,1,1,2000000
63,فيلا, الرياض , حي النزهة ,ثلاث شوارع,7+,4,5+,لا يوجد,2450.0,1,1,1,1,1,1,1,1,1,0,18000000
64,فيلا, الدرعية, العيينة ,غربية,7+,2,5+,لا يوجد,480.0,0,1,0,0,0,1,0,0,0,0,2300000
65,فيلا, الرياض , حي العارض ,شرقية,5,2,5+,لا يوجد,510.0,1,1,1,1,1,1,1,0,1,1,4000000
66,فيلا, امارة منطقة الرياض, الرياض ,شمالية,5,3,5+,لا يوجد,280.0,1,1,1,1,0,1,0,0,1,0,2600000
67,فيلا, الرياض , حي العارض ,غربية,4,2,5+,لا يوجد,200.0,1,0,1,0,0,1,0,0,1,1,2100000
68,فيلا, الرياض , حي العارض ,شمالية,7+,3,5+,لا يوجد,399.0,0,1,1,1,1,1,0,0,1,0,3500000
69,فيلا, الرياض , حي الياسمين ,جنوبية,5,1,2,لا يوجد,375.0,1,0,1,1,0,0,0,0,0,0,4600000
70,فيلا, الرياض , حي النرجس ,شرقية,6,2,5+,لا يوجد,450.0,1,1,1,0,1,1,1,0,1,1,2870000
71,فيلا, الرياض , حي القيروان ,شرقية,4,4,5+,لا يوجد,300.0,1,1,1,1,0,1,0,0,1,1,3600000
72,فيلا, الرياض , حي القيروان ,جنوبية,5,3,5+,5.0,275.0,1,1,1,1,1,1,0,0,1,1,3600000
73,فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,15.0,330.0,0,1,1,1,0,0,0,0,1,0,3300000
74,فيلا, الرياض , حي النفل ,شرقية,7+,4,5+,لا يوجد,750.0,0,0,0,0,0,0,0,0,0,1,9500000
75,فيلا, الرياض , حي النفل ,جنوبية,7+,2,5+,لا يوجد,360.0,1,0,0,0,1,1,0,0,1,1,2850000
76,فيلا, الرياض , حي النرجس ,غربية,5,3,5+,لا يوجد,225.0,1,1,1,1,0,0,0,0,1,1,2650000
77,فيلا, الرياض , حي الربيع ,شرقية,5,2,5+,لا يوجد,510.0,1,1,1,0,0,1,0,0,1,0,4000000
78,فيلا, امارة منطقة الرياض, الرياض ,شمالية,4,3,5+,لا يوجد,270.0,1,1,1,0,1,1,0,0,1,0,2450000
79,فيلا, الرياض , حي النرجس ,جنوبية,7+,2,5+,لا يوجد,425.0,0,0,1,0,0,1,0,0,1,0,3000000
80,فيلا, الرياض , حي العارض ,غربية,4,2,5+,لا يوجد,200.0,1,0,0,1,0,0,0,0,1,0,2000000
81,فيلا, الرياض , حي الوادي ,شرقية,7+,2,5+,لا يوجد,750.0,0,1,1,1,1,1,0,0,1,0,5500000
82,فيلا, امارة منطقة الرياض, الرياض ,شرقية,4,3,5+,لا يوجد,460.0,1,1,1,1,0,1,0,1,1,1,4394000
83,فيلا, الرياض , حي النرجس ,غربية,5,3,5+,لا يوجد,390.0,1,1,1,1,0,1,1,1,1,0,3800000
84,فيلا, الدرعية, العيينة ,غربية,7+,2,5+,لا يوجد,256.0,1,1,1,0,0,1,0,0,1,1,1500000
85,فيلا, الرياض , حي الربيع ,شرقية,7+,3,5+,لا يوجد,325.0,1,1,1,1,0,1,0,0,1,0,3200000
86,فيلا, الرياض , حي العليا ,جنوبية,6,5,5+,لا يوجد,1344.0,1,1,1,1,1,1,0,1,1,0,7500000
87,فيلا, الرياض , حي العليا ,شمالية غربية,7+,3,5+,لا يوجد,900.0,1,1,1,1,1,1,0,0,1,0,6000000
88,فيلا, الرياض , حي الياسمين ,جنوبية,5,2,5+,لا يوجد,600.0,1,1,1,1,1,0,0,0,1,1,6500000
89,فيلا, الرياض , حي النزهة ,شمالية,5,2,5+,لا يوجد,313.0,1,1,1,1,0,1,0,0,0,0,2700000
90,فيلا, الرياض , حي النزهة ,شمالية,5,4,5+,لا يوجد,336.0,1,1,1,1,0,1,0,0,1,0,3500000
91,فيلا, الرياض , حي العقيق ,شرقية,4,2,4,لا يوجد,400.0,1,1,1,1,1,1,0,1,1,0,3800000
92,فيلا, الرياض , حي الفلاح ,جنوبية,5,4,5+,15.0,400.0,1,1,1,1,1,0,0,0,1,0,4000000
93,فيلا, حريملاء, القرينه ,شمالية شرقية,7+,1,4,لا يوجد,690.0,0,1,1,1,1,1,0,0,1,0,1600000
94,فيلا, الرياض , حي الياسمين ,جنوبية غربية,5,3,5+,لا يوجد,435.0,1,1,1,1,1,1,0,0,1,0,4000000
95,فيلا, الرياض , حي العارض ,جنوبية,7+,7+,5+,لا يوجد,405.0,1,1,1,1,1,1,0,0,1,1,3100000
96,فيلا, الرياض , حي الياسمين ,غربية,5,2,5+,لا يوجد,600.0,1,1,1,1,1,1,0,0,1,0,4500000
97,فيلا, الرياض , حي العليا ,جنوبية غربية,5,3,5+,لا يوجد,200.0,0,1,0,1,0,0,0,0,0,0,2900000
98,فيلا, الرياض , حي الياسمين ,جنوبية,7+,2,5+,لا يوجد,260.0,1,1,1,1,0,1,0,0,1,0,2350000
99,فيلا, امارة منطقة الرياض, الرياض ,جنوبية,4,2,5+,لا يوجد,258.0,1,1,1,0,0,1,0,0,1,0,2500000
100,فيلا, الرياض , حي الرحمانية ,غربية,7+,3,5+,8.0,384.0,1,1,1,1,0,1,1,1,1,0,3500000
101,فيلا, الرياض , حي النزهة ,غربية,3,2,5+,لا يوجد,256.0,1,1,1,1,0,0,0,0,1,0,1650000
102,فيلا, الرياض , حي النرجس ,غربية,5,3,5+,لا يوجد,300.0,1,0,1,1,0,0,0,0,0,0,2800000
103,فيلا, الرياض , حي النرجس ,جنوبية غربية,4,2,5+,لا يوجد,234.0,1,0,1,1,0,0,0,0,0,0,2300000
104,فيلا, الرياض , حي النرجس ,جنوبية,3,2,5+,لا يوجد,273.0,1,0,1,0,0,0,0,0,0,0,2700000
105,فيلا, الرياض , حي العارض ,شمالية,6,1,4,لا يوجد,600.0,0,1,1,1,0,0,0,0,1,0,3000000
106,فيلا, الرياض , حي الوادي ,جنوبية,4,2,5+,لا يوجد,250.0,1,0,1,1,0,0,0,0,1,0,3000000
107,فيلا, الرياض , حي المصيف ,جنوبية,6,2,5+,لا يوجد,299.0,1,0,1,1,0,0,0,0,1,0,3400000
108,فيلا, الرياض , حي العليا ,شمالية,7+,2,5+,لا يوجد,442.0,1,1,1,1,1,0,0,1,1,0,2500000
109,فيلا, الرياض , حي العارض ,غربية,4,3,5+,لا يوجد,300.0,1,0,1,0,1,0,0,0,0,0,2800000
110,فيلا, الرياض , حي الملقا ,شرقية,4,2,5+,لا يوجد,375.0,1,1,1,1,1,1,0,0,1,1,4300000
111,فيلا, الرياض , حي العليا ,شمالية,7+,2,5+,لا يوجد,442.0,1,1,1,1,1,1,0,0,1,0,2600000
112,فيلا, الرياض , حي النرجس ,غربية,5,3,5+,لا يوجد,375.0,1,0,1,1,0,0,0,0,0,0,4400000
113,فيلا, امارة منطقة الرياض, الرياض ,جنوبية,6,3,5+,لا يوجد,270.0,1,0,1,0,0,0,0,0,0,0,2500000
114,فيلا, الرياض , حي العارض ,شمالية,5,3,5+,لا يوجد,300.0,1,0,1,1,0,0,0,0,1,0,2500000
115,فيلا, الدرعية, العيينة ,جنوبية,7+,5,5+,لا يوجد,406.0,0,1,0,0,0,1,0,0,0,0,1350000
116,فيلا, الرياض , حي الفلاح ,جنوبية,5,2,5+,لا يوجد,392.0,1,1,1,1,1,1,0,0,1,0,4500000
117,فيلا, الرياض , حي النرجس ,غربية,6,2,5+,لا يوجد,477.0,1,1,1,1,1,1,1,0,1,0,4000000
118,فيلا, الرياض , حي الياسمين ,جنوبية,5,3,5+,لا يوجد,375.0,1,1,1,1,0,1,1,0,1,1,4200000
119,فيلا, الرياض , حي العارض ,شمالية,5,2,5+,لا يوجد,360.0,1,1,1,1,1,0,0,0,1,1,2900000
120,فيلا, امارة منطقة الرياض, الرياض ,شمالية,4,3,5+,لا يوجد,390.0,0,1,1,1,0,1,0,0,1,0,3200000
121,فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,لا يوجد,324.0,1,1,1,1,0,1,0,0,1,0,2350000
122,فيلا, الرياض , حي الندى ,غربية,7+,4,5+,لا يوجد,2500.0,0,1,0,0,0,0,0,0,1,0,16700000
123,فيلا, الرياض , حي النزهة ,شرقية,4,2,4,لا يوجد,607.0,1,1,1,1,1,1,0,0,1,0,3300000
124,فيلا, الرياض , حي التعاون ,شرقية,5,2,5+,لا يوجد,375.0,0,1,1,1,1,1,0,0,1,1,4350000
125,فيلا, الرياض , حي الملقا ,شمالية,7+,3,5+,لا يوجد,200.0,0,0,0,0,0,0,0,0,0,0,2600000
126,فيلا, الرياض , حي العارض ,شرقية,7+,5,5+,لا يوجد,690.0,1,1,1,0,1,1,0,0,1,0,4600000
127,فيلا, الرياض , حي المصيف ,شمالية,7+,2,5+,لا يوجد,570.0,0,1,1,1,1,1,0,0,1,0,3000000
128,فيلا, الرياض , حي العارض ,غربية,3,2,5+,لا يوجد,11811.0,0,1,1,0,0,0,0,0,0,0,1350000
129,فيلا, الرياض , حي الصحافة ,جنوبية,5,2,5+,لا يوجد,375.0,1,1,1,1,1,1,1,0,1,0,2750000
130,فيلا, الرياض , حي الملقا ,شمالية غربية,5,3,5+,لا يوجد,687.0,1,1,1,1,1,1,0,1,1,1,9000000
131,فيلا, الرياض , حي العارض ,شرقية,5,5,5+,لا يوجد,335.0,1,1,1,0,1,1,0,0,1,0,3150000
132,فيلا, الرياض , حي المحمدية ,شمالية,5,2,5+,لا يوجد,360.0,1,1,1,1,0,0,0,0,1,0,2700000
133,فيلا, الرياض , حي العارض ,شرقية,4,3,5+,لا يوجد,300.0,1,1,1,1,0,1,0,0,1,1,3300000
134,فيلا, الرياض , حي القيروان ,جنوبية,7+,3,5+,لا يوجد,420.0,1,1,1,1,1,1,0,0,1,1,4500000
135,فيلا, الرياض , حي الندى ,جنوبية غربية,4,3,5+,لا يوجد,420.0,1,1,1,1,0,0,1,0,1,1,3500000
136,فيلا, الرياض , حي الوادي ,شمالية,4,1,3,لا يوجد,209.0,1,0,1,0,0,1,0,0,1,0,2600000
137,فيلا, الرياض , حي العارض ,غربية,5,2,5+,لا يوجد,200.0,1,0,1,0,0,0,0,0,0,0,2100000
138,فيلا, الدرعية, العيينة ,شرقية,4,1,5+,لا يوجد,535.0,1,1,1,0,1,1,0,0,1,0,1900000
139,فيلا, الرياض , حي العقيق ,جنوبية,7+,2,5+,لا يوجد,425.0,1,0,1,1,0,1,0,0,1,0,3200000
140,فيلا, الدرعية, العيينة ,جنوبية,7+,2,5+,لا يوجد,405.0,1,1,1,0,1,1,0,0,1,0,2030000
141,فيلا, الرياض , حي العارض ,شمالية,5,2,5+,لا يوجد,375.0,1,1,1,0,1,1,0,0,1,0,3000000
142,فيلا, الرياض , حي النفل ,غربية,5,2,4,لا يوجد,324.0,1,1,1,0,1,1,0,0,1,0,2500000
143,فيلا, الرياض , حي النفل ,غربية,6,2,5+,لا يوجد,360.0,1,1,1,1,1,1,1,0,1,1,4390000
144,فيلا, الرياض , حي الياسمين ,غربية,5,4,5+,لا يوجد,350.0,1,1,1,1,0,1,1,1,1,1,4700000
145,فيلا, الرياض , حي العارض ,جنوبية,5,3,5+,لا يوجد,308.0,1,1,0,0,0,0,0,0,0,0,2600000
146,فيلا, امارة منطقة الرياض, الرياض ,شرقية,2,3,5+,لا يوجد,375.0,0,1,1,1,0,1,0,0,1,0,3100000
147,فيلا, الرياض , حي التعاون ,شرقية,4,1,5+,لا يوجد,220.0,1,1,1,1,0,1,0,0,1,0,2712320
148,فيلا, الرياض , حي النخيل ,شمالية,4,2,5+,15.0,630.0,1,1,1,1,0,1,1,1,1,0,7300000
149,فيلا, الرياض , حي النرجس ,شرقية,6,3,5+,20.0,625.0,1,1,1,1,0,1,0,0,1,1,6500000
150,فيلا, الرياض , حي النرجس ,جنوبية,7+,3,5+,20.0,406.0,1,1,1,1,1,1,0,0,1,0,4200000
151,فيلا, الرياض , حي النرجس ,غربية,4,2,5+,15.0,202.0,1,1,1,0,1,1,0,0,1,1,2100000
152,فيلا, الرياض, الرياض ,شمالية,6,2,5+,20.0,395.0,1,1,1,1,1,1,0,0,1,0,3500000
153,فيلا, الرياض , حي النرجس ,شمالية,5,2,5+,20.0,312.0,0,1,0,0,0,0,0,0,0,0,3500000
154,فيلا, الرياض , حي العليا ,شمالية,5,2,5+,10.0,540.0,1,1,1,1,1,1,1,0,1,0,3000000
155,فيلا, الرياض , حي الصحافة ,شمالية,6,2,5+,15.0,375.0,1,1,1,1,1,1,0,0,1,1,4880000
156,فيلا, الرياض , حي العارض ,شمالية,5,2,5+,30.0,483.0,1,1,1,1,1,1,1,0,1,0,3900000
157,فيلا, الرياض , حي المروج ,جنوبية,5,3,5+,20.0,350.0,1,1,1,1,1,1,0,0,1,1,4000000
158,فيلا, الدرعية, العيينة ,شرقية,7+,3,5+,20.0,500.0,1,1,1,1,1,1,1,0,1,1,5300000
159,فيلا, الرياض , حي العقيق ,شمالية,5,2,5+,15.0,312.0,1,1,1,1,1,1,0,0,1,1,3600000
160,فيلا, الدرعية, العيينة ,شرقية,4,2,5+,15.0,500.0,1,1,1,0,0,1,0,0,1,1,1400000
161,فيلا, الرياض , حي الملقا ,شمالية,5,3,5+,15.0,540.0,1,1,1,1,1,1,0,0,1,0,5500000
162,فيلا, الرياض , حي المروج ,شمالية,4,1,4,15.0,312.0,0,1,1,1,0,1,0,0,1,0,2000000
163,فيلا, الرياض , حي الياسمين ,جنوبية غربية,3,3,3,20.0,370.0,1,1,0,1,0,1,0,0,1,0,3250000
164,فيلا, الرياض , حي النرجس ,جنوبية,7+,2,5+,15.0,250.0,1,1,1,0,0,1,0,0,1,1,2500000
165,فيلا, الرياض , حي النرجس ,شمالية,6,2,5+,15.0,254.0,1,1,0,0,1,1,0,0,1,0,2450000
166,فيلا, امارة منطقة الرياض, حي الفلاح ,غربية,5,3,5+,20.0,520.0,1,1,1,1,0,1,1,0,1,1,6500000
167,فيلا, الرياض , حي الرحمانية ,شمالية,4,2,5+,20.0,300.0,1,1,1,1,0,1,0,0,1,1,4500000
168,فيلا, الرياض , حي الملقا ,شمالية شرقية,5,2,5+,25.0,600.0,1,1,1,1,1,1,1,0,1,1,6500000
169,فيلا, الرياض , حي القيروان ,جنوبية,5,2,5+,20.0,457.0,1,1,1,1,0,1,0,0,1,1,5200000
170,فيلا, الرياض , حي الملقا ,جنوبية,5,2,5+,15.0,343.0,1,1,1,1,0,1,0,0,1,1,4600000
171,فيلا, الرياض , حي النرجس ,شمالية,5,3,5+,15.0,250.0,1,1,1,0,0,1,0,0,0,0,2600000
172,فيلا, الرياض , حي حطين ,شمالية,7+,2,5+,15.0,500.0,1,1,1,1,1,1,0,0,1,0,6300000
173,فيلا, الرياض , حي القيروان ,شمالية,5,3,5+,20.0,360.0,1,1,1,1,1,1,0,0,1,1,4300000
174,فيلا, الرياض , حي القيروان ,شمالية,4,5,5+,15.0,360.0,0,1,1,1,1,1,0,0,1,1,3800000
175,فيلا, الدرعية, العيينة ,ثلاث شوارع,7+,1,4,لا يوجد,565.0,1,1,0,1,1,0,0,0,1,0,2000000
176,فيلا, الرياض , حي الملك فهد ,جنوبية غربية,6,2,5+,20.0,625.0,1,1,1,1,0,0,0,0,0,0,3400000
177,فيلا, امارة منطقة الرياض, الرياض ,جنوبية,4,3,5+,20.0,250.0,1,1,1,0,1,1,0,0,1,0,2350000
178,فيلا, الرياض , حي المروج ,جنوبية,3,2,4,15.0,300.0,0,1,1,0,0,1,0,0,0,0,2200000
179,فيلا, الرياض , حي العارض ,جنوبية,4,3,5+,20.0,336.0,0,1,1,0,1,1,1,0,1,1,2750000
180,فيلا, الرياض , حي الملقا7541 ,شمالية,3,1,3,21.0,252.0,1,1,0,0,0,0,0,0,0,1,3200000
181,فيلا, الرياض , حي العليا ,غربية,4,1,5+,12.0,210.0,1,1,1,0,0,1,0,0,1,0,2400000
182,فيلا, الرياض , حي النرجس ,شمالية شرقية,5,4,5+,15.0,344.0,1,1,1,1,1,1,1,0,1,1,4200000
183,فيلا, الرياض , حي العارض ,جنوبية شرقية,7+,5,5+,15.0,352.0,1,1,1,1,1,1,1,0,1,1,4000000
184,فيلا, الرياض , حي النرجس ,غربية,4,2,4,20.0,300.0,1,1,1,0,0,1,0,0,1,0,3000000
185,فيلا, الرياض , حي الملك فهد ,شمالية شرقية,6,2,5+,20.0,420.0,0,1,1,1,1,1,0,0,1,0,2400000
186,فيلا, الرياض , حي العارض ,جنوبية,5,2,5+,20.0,338.0,1,1,1,1,0,1,0,0,1,1,2800000
187,فيلا, الرياض , حي النرجس ,غربية,5,3,5+,15.0,325.0,0,1,1,1,0,1,0,0,1,1,3300000
188,فيلا, الرياض , حي الملقا ,شمالية,6,5,5+,20.0,450.0,1,1,1,1,1,1,0,0,1,1,5500000
189,فيلا, الرياض , حي النرجس ,غربية,6,3,5+,15.0,360.0,1,1,1,0,1,1,0,0,1,1,3550000
190,فيلا, الرياض , حي النرجس ,شمالية غربية,4,1,4,15.0,210.0,1,1,1,1,1,1,0,0,1,1,2300000
191,فيلا, الرياض, الرياض ,شمالية,5,4,5+,10.0,239.0,1,1,1,1,1,1,0,0,1,1,3499000
192,فيلا, الرياض , حي صلاح الدين ,غربية,5,5,5+,12.0,699.0,0,1,1,1,1,1,1,1,1,1,7500000
193,فيلا, الرياض , حي النرجس ,شمالية,5,3,5+,25.0,813.0,1,1,1,1,1,1,1,0,1,1,14000000
194,فيلا, الرياض , حي الملقا ,شرقية,5,2,5+,20.0,375.0,1,1,1,1,0,1,0,0,1,0,3200000
195,فيلا, الرياض , حي الندى ,غربية,5,3,5+,15.0,300.0,0,1,1,1,0,1,1,1,1,0,3600000
196,فيلا, الرياض , حي النفل ,شمالية غربية,7+,2,5+,20.0,450.0,1,1,1,1,1,1,0,1,1,0,4000000
197,فيلا, الرياض , حي النرجس ,جنوبية,6,2,5+,15.0,375.0,1,1,1,1,1,1,1,0,1,1,3650000
198,فيلا, الرياض , حي النرجس ,جنوبية,5,4,5+,25.0,360.0,1,1,1,1,1,1,0,0,1,1,4200000
199,فيلا, الدرعية, العيينة ,شرقية,5,4,5+,20.0,250.0,1,1,1,0,0,1,0,0,1,0,1600000
200,فيلا, الرياض , حي العارض ,جنوبية,3,2,5+,15.0,216.0,1,1,1,0,0,1,0,0,1,1,2100000
201,فيلا, الرياض , حي العارض ,غربية,7+,3,5+,15.0,360.0,1,1,1,1,1,1,0,0,1,0,2800000
202,فيلا, الرياض , حي العارض ,جنوبية,5,5,5+,15.0,375.0,1,1,1,1,0,1,0,0,1,0,3000000
203,فيلا, الرياض , حي الندى ,شمالية شرقية,6,3,5+,12.0,525.0,1,1,1,0,1,1,1,1,1,1,5700000
204,فيلا, الرياض , حي العليا ,جنوبية غربية,4,1,5+,12.0,252.0,1,1,1,0,0,1,0,0,1,0,2600000
