نوع العقار,الغرض,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,تجاري وسكني, حي النسيم الغربي ,شمالية,437,1850,808450
أرض,تجاري وسكني, حي النسيم الغربي ,غربية,600,1850,1110000
أرض,تجاري وسكني, حي النسيم الغربي ,جنوبية,875,1900,1662500
أرض,تجاري وسكني, حي الرمال ,جنوبية,372,3100,1153200
أرض,تجاري وسكني, الرياض ,شمالية,936,507,474552
أرض,تجاري وسكني, حي العلا ,ثلاث شوارع,24000,3000,72000000
أرض,تجاري وسكني, حي العلا ,ثلاث شوارع,17927,1500,26890500
أرض,تجاري وسكني, حي العلا ,جنوبية,350,4000,1400000
أرض,تجاري وسكني, حي الازدهار ,غربية,771,4000,3084000
أرض,تجاري وسكني, حي الازدهار ,جنوبية,2000,500,1000000
أرض,سكني, حي النسيم الغربي ,شمالية غربية,625,2400,1500000
أرض,سكني, الرياض ,شمالية,759,2400,1821600
أرض,سكني, الرياض ,جنوبية,750,2400,1800000
أرض,سكني, حي الملز ,ثلاث شوارع,1148,2400,2755200
أرض,سكني, الرياض ,غربية,435,827,359745
أرض,سكني, حي القادسية ,شرقية,543,2300,1248900
أرض,تجاري وسكني, حي الملك فيصل ,شمالية شرقية,900,4500,4050000
أرض,تجاري وسكني, حي الروضة ,شمالية شرقية,900,4500,4050000
أرض,تجاري وسكني, حي اليرموك ,غربية,745,671,499895
أرض,تجاري وسكني, حي النسيم الشرقي ,شرقية,800,671,536800
أرض,تجاري وسكني, الرياض ,غربية,900,671,603900
أرض,تجاري وسكني, حي قرطبة ,غربية,450,671,301950
أرض,تجاري وسكني, حي المشرق ,شرقية,1021,1000,1021000
أرض,تجاري وسكني, حي المشرق ,جنوبية,825,1000,825000
أرض,تجاري وسكني, حي الزاهر ,جنوبية غربية,1020,800,816000
أرض,تجاري وسكني, الرياض ,شرقية,810,802,649620
أرض,تجاري وسكني, الرياض ,غربية,432,650,280800
أرض,تجاري وسكني, الرياض ,غربية,390,3300,1287000
أرض,تجاري وسكني, حي خشم العان ,شرقية,416,3300,1372800
أرض,تجاري وسكني, حي خشم العان ,شرقية,900,3300,2970000
أرض,تجاري وسكني, حي الرمال ,ثلاث شوارع,2246,4000,8984000
أرض,تجاري وسكني, حي السلام ,شمالية,350,3700,1295000
أرض,تجاري وسكني, الرياض ,شرقية,918,1400,1285200
أرض,تجاري وسكني, حي الروضة ,جنوبية,900,5778,5200200
أرض,تجاري وسكني, حي قرطبة ,شرقية,1250,6500,8125000
أرض,تجاري وسكني, حي النسيم الغربي ,شرقية,1250,6500,8125000
أرض,تجاري وسكني, حي النسيم الغربي ,جنوبية,747,6500,4855500
أرض,تجاري وسكني, حي الروضة ,شمالية غربية,750,4200,3150000
أرض,تجاري وسكني, حي الروضة ,غربية,900,444,399600
أرض,تجاري وسكني, حي الخليج ,شمالية شرقية,648,444,287712
أرض,تجاري وسكني, حي الخليج ,شمالية,2800,444,1243200
أرض,تجاري وسكني, الرياض ,شمالية,752,444,333888
أرض,تجاري وسكني, الرياض ,شمالية,1627,444,722388
أرض,تجاري وسكني, حي اشبيلية ,شمالية,343,2871,984753
أرض,تجاري وسكني, حي الجنادرية ,شرقية,999,2202,2199798
أرض,تجاري وسكني, حي النسيم الشرقي ,شرقية,440,2954,1299760
أرض,تجاري وسكني, حي اليرموك ,جنوبية,1089,2954,3216906
أرض,تجاري وسكني, الرياض ,جنوبية,1089,2954,3216906
أرض,تجاري وسكني, حي الشرق ,جنوبية,756,310,234360
أرض,تجاري وسكني, الرياض ,جنوبية,864,310,267840
أرض,تجاري وسكني, حي النظيم ,شمالية,833,1441,1200353
أرض,تجاري وسكني, حي النظيم ,جنوبية,2000,525,1050000
أرض,تجاري وسكني, حي النظيم ,جنوبية شرقية,900,950,855000
أرض,تجاري وسكني, حي النظيم ,شمالية,459,2500,1147500
أرض,تجاري وسكني, حي اليرموك ,جنوبية شرقية,1170,5000,5850000
أرض,تجاري وسكني, الرياض ,شرقية,2000,535,1070000
أرض,سكني, حي النرجس ,شرقية,500,5500,2750000
أرض,سكني, العيينة ,شمالية غربية,1000,5500,5500000
أرض,سكني, حي النرجس ,شمالية غربية,875,5500,4812500
أرض,سكني, حي الرمال ,ثلاث شوارع,1080,3000,3240000
أرض,سكني, العيينة ,ثلاث شوارع,674,3000,2022000
أرض,سكني, الرياض ,شرقية,750,3000,2250000
أرض,سكني, الرياض ,شمالية,470,3000,1410000
أرض,سكني, حي المهدية ,شمالية,450,3000,1350000
أرض,سكني, الرياض ,غربية,375,3000,1125000
أرض,سكني, حي عرقة ,جنوبية,726,5000,3630000
أرض,سكني, الرياض ,شمالية,375,1200,450000
أرض,سكني, حي النرجس ,غربية,400,4900,1960000
أرض,سكني, حي ظهرة لبن ,شمالية شرقية,1055,2500,2637500
أرض,سكني, الرياض ,جنوبية,375,2500,937500
أرض,سكني, حي العين ,شمالية شرقية,674,1630,1098620
أرض,سكني, حي حطين ,غربية,856,1630,1395280
أرض,سكني, الرياض ,جنوبية,600,1833,1099800
أرض,سكني, حي ظهرة لبن ,ثلاث شوارع,750,1833,1374750
أرض,سكني, حي الهدا ,غربية,2317,3200,7414400
أرض,سكني, حي الملقا ,غربية,2184,3200,6988800
أرض,سكني, الرياض ,جنوبية غربية,750,3200,2400000
أرض,سكني, حي طويق ,شمالية,15730,3000,47190000
أرض,سكني, الرياض ,شمالية,460,3000,1380000
أرض,سكني, الرياض ,شمالية,400,3000,1200000
أرض,سكني, حي المنصورة ,جنوبية,1000,8500,8500000
أرض,سكني, حي طويق ,شمالية,5000,2600,13000000
أرض,سكني, حي عريض ,أربع شوارع,750,1000,750000
أرض,سكني, حي طويق ,جنوبية,11930,2200,26246000
أرض,سكني, حي الملقا ,ثلاث شوارع,6372,8631,54996732
أرض,تجاري وسكني, حي العارض ,ثلاث شوارع,2500,3300,8250000
أرض,تجاري وسكني, الرياض ,شمالية,871,3300,2874300
أرض,تجاري وسكني, حي المناخ ,شمالية,312,1300,405600
أرض,تجاري وسكني, حي المناخ ,شمالية,900,1300,1170000
أرض,تجاري وسكني, حي العارض ,شمالية,600,3600,2160000
أرض,تجاري وسكني, حي ظهرة لبن ,شمالية شرقية,1055,2500,2637500
أرض,تجاري وسكني, حي القيروان ,شمالية,900,6000,5400000
أرض,تجاري وسكني, حي المهدية ,شمالية,900,6000,5400000
أرض,تجاري وسكني, ضاحية نمار ,شمالية,450,3350,1507500
أرض,تجاري وسكني, حي الخير ,شمالية شرقية,437,1739,759943
أرض,تجاري وسكني, الرياض ,غربية,750,1739,1304250
أرض,تجاري وسكني, حي الصحافة ,شرقية,862,6500,5603000
أرض,تجاري وسكني, الرياض ,شرقية,750,6500,4875000
أرض,تجاري وسكني, الرياض ,غربية,750,6500,4875000
أرض,تجاري وسكني, حي المهدية ,شرقية,450,2600,1170000
أرض,تجاري وسكني, حي طويق ,شرقية,870,2600,2262000
أرض,تجاري وسكني, الرياض ,شرقية,750,2600,1950000
أرض,تجاري وسكني, الرياض ,غربية,750,2600,1950000
أرض,تجاري وسكني, حي الخير ,غربية,750,2600,1950000
أرض,تجاري وسكني, حي النرجس ,شرقية,900,6000,5400000
أرض,تجاري وسكني, حي النرجس ,شمالية شرقية,900,6500,5850000
أرض,تجاري وسكني, حي العوالي ,شرقية,500,6500,3250000
أرض,تجاري, حي الرمال ,ثلاث شوارع,2900,3800,11020000
أرض,تجاري, حي الصحافة ,شمالية غربية,2007,3800,7626600
أرض,تجاري, الرياض ,غربية,750,3800,2850000
أرض,تجاري, حي الخير ,شرقية,750,3800,2850000
أرض,تجاري, الرياض ,شمالية شرقية,480,3800,1824000
أرض,تجاري, الرياض ,شرقية,1160,3800,4408000
أرض,تجاري, الرياض ,جنوبية شرقية,750,3800,2850000
أرض,تجاري, حي الغنامية ,جنوبية غربية,414,3800,1573200
أرض,تجاري, حي النخيل ,ثلاث شوارع,10000,8000,80000000
أرض,تجاري, حي اليرموك ,جنوبية,1089,3300,3593700
أرض,تجاري, حي ظهرة نمار ,شمالية,300,3300,990000
أرض,تجاري, الرياض ,غربية,472,3300,1557600
أرض,تجاري, حي المعيزلة ,جنوبية,550,3000,1650000
أرض,تجاري, حي اليرموك ,جنوبية,1089,3200,3484800
أرض,تجاري, حي اليرموك ,شمالية شرقية,300,3200,960000
أرض,تجاري, حي اليرموك ,غربية,409,1000,409000
أرض,تجاري, حي اليرموك ,جنوبية,1089,3250,3539250
أرض,تجاري, الرياض ,شرقية,585,650,380250
أرض,تجاري, حي الرمال ,شمالية شرقية,3092,650,2009800
أرض,تجاري, حي المهدية ,غربية,409,2570,1051130
أرض,تجاري, حي النرجس ,غربية,435,3200,1392000
أرض,تجاري, الرياض ,شمالية,375,3200,1200000
أرض,تجاري, الرياض ,شمالية,361,3200,1155200
أرض,تجاري وسكني, طريق النفود ,ثلاث شوارع,495,2500,1237500
أرض,تجاري وسكني, طريق النفود ,جنوبية,472,2500,1180000
أرض,تجاري وسكني, الرياض ,جنوبية غربية,400,925,370000
أرض,تجاري وسكني, حي الشرق ,شرقية,450,925,416250
أرض,تجاري وسكني, حي عريض ,غربية,450,3100,1395000
أرض,تجاري وسكني, حي عريض ,شمالية,517,3100,1602700
أرض,سكني, الرياض ,جنوبية,800,1375,1100000
أرض,سكني, حي عريض ,شمالية شرقية,2048,1709,3500032
أرض,سكني, حي الدار البيضاء ,جنوبية,4675,1709,7989575
أرض,سكني, حي النرجس ,شرقية,450,4900,2205000
أرض,تجاري, الرياض ,شمالية شرقية,400,950,380000
أرض,تجاري, حي النرجس ,شمالية,450,4700,2115000
أرض,سكني, حي النرجس ,شمالية,450,4300,1935000
أرض,سكني, حي الرمال ,شرقية,1560,6150,9594000
أرض,سكني, حي النرجس ,جنوبية,432,4900,2116800
أرض,سكني, حي ظهرة لبن ,جنوبية غربية,400,2200,880000
أرض,سكني, حي ظهرة لبن ,شمالية شرقية,900,3100,2790000
أرض,سكني, حي المهدية ,شمالية,300,3400,1020000
أرض,سكني, حي المونسية ,شرقية,2115,3400,7191000
أرض,سكني, حي عرقة ,غربية,653,3400,2220200
أرض,سكني, حي الروضة ,شمالية,1798,1500,2697000
أرض,سكني, حي النرجس ,شمالية شرقية,1050,7500,7875000
أرض,سكني, الرياض ,شرقية,432,7500,3240000
أرض,سكني, الرياض ,شمالية,426,7500,3195000
أرض,سكني, حي المهدية ,غربية,400,7500,3000000
أرض,سكني, حي الرمال ,شرقية,360,2900,1044000
أرض,سكني, حي ظهرة لبن ,جنوبية,450,2900,1305000
أرض,سكني, حي عريض ,جنوبية غربية,500,2900,1450000
أرض,سكني, الرياض ,شرقية,450,2900,1305000
أرض,سكني, الرياض ,جنوبية غربية,1050,2900,3045000
أرض,سكني, حي القيروان ,شمالية,900,6000,5400000
أرض,سكني, الرياض ,جنوبية,450,6000,2700000
أرض,سكني, الرياض ,غربية,516,6000,3096000
أرض,سكني, الرياض ,جنوبية غربية,900,6000,5400000
أرض,سكني, حي الرمال ,ثلاث شوارع,3000,6000,18000000
أرض,سكني, حي عريض ,غربية,324,6000,1944000
أرض,سكني, الرياض ,شمالية,450,6000,2700000
أرض,سكني, الرياض ,جنوبية,525,800,420000
أرض,سكني, الرياض ,جنوبية,900,800,720000
أرض,سكني, حي النرجس ,جنوبية,900,800,720000
أرض,سكني, حي النرجس ,شرقية,420,476,199920
أرض,سكني, حي المهدية ,شرقية,391,476,186116
أرض,سكني, حي المهدية ,شمالية,400,3500,1400000
أرض,سكني, حي عريض ,جنوبية,348,1150,400200
أرض,سكني, حي ظهرة لبن ,جنوبية,360,3472,1249920
أرض,سكني, حي الحزم ,شمالية شرقية,420,1750,735000
أرض,سكني, حي ظهرة لبن ,شمالية,360,3200,1152000
أرض,سكني, حي ظهرة لبن ,شمالية,2394,3200,7660800
أرض,سكني, الرياض ,شمالية,375,1100,412500
أرض,سكني, حي النرجس ,شرقية,500,5300,2650000
أرض,سكني, حي حطين ,شمالية,2000,10000,20000000
أرض,سكني, حي ضاحية نمار ,شرقية,375,10000,3750000
أرض,سكني, ضاحية نمار ,شمالية,990,909,899910
أرض,سكني, الرياض ,شمالية شرقية,928,668,619904
أرض,سكني, الرياض ,جنوبية شرقية,928,668,619904
أرض,سكني, ضاحية نمار ,شمالية,451,1400,631400
أرض,سكني, حي الخير ,شرقية,840,1547,1299480
أرض,سكني, حي الخير ,شمالية غربية,864,1600,1382400
أرض,سكني, حي النرجس ,شمالية,500,5000,2500000
أرض,سكني, الرياض ,جنوبية,900,5000,4500000
أرض,سكني, الرياض ,جنوبية,900,5000,4500000
أرض,سكني, حي عريض ,جنوبية,900,5000,4500000
أرض,سكني, حي عكاظ ,شرقية,600,5000,3000000
أرض,سكني, الرياض ,شرقية,450,1650,742500
أرض,سكني, الرياض ,شمالية,390,1000,390000
أرض,سكني, حي النرجس ,جنوبية,480,4800,2304000
أرض,سكني, حي طويق ,جنوبية,360,2500,900000
أرض,سكني, حي بنبان ,شرقية,800,2125,1700000
أرض,سكني, حي المشرق ,جنوبية,750,2125,1593750
أرض,سكني, الرياض ,جنوبية,750,2125,1593750
أرض,سكني, حي العوالي ,جنوبية,352,3150,1108800
أرض,سكني, الرياض ,أربع شوارع,4262,3150,13425300
أرض,سكني, حي الملقا ,غربية,928,10000,9280000
أرض,سكني, حي حطين ,ثلاث شوارع,2816,10000,28160000
أرض,سكني, حي المهدية ,غربية,625,10000,6250000
أرض,سكني, حي عرقة ,غربية,453,4800,2174400
أرض,سكني, حي عرقة ,شمالية غربية,432,4800,2073600
أرض,سكني, حي ظهرة لبن ,شمالية,930,2600,2418000
أرض,سكني, حي ظهرة لبن ,شمالية,300,2600,780000
أرض,سكني, حي ظهرة لبن ,شمالية,572,2600,1487200
أرض,سكني, الرياض ,غربية,5850,2600,15210000
أرض,سكني, حي السويدي ,جنوبية شرقية,625,3400,2125000
أرض,سكني, الرياض ,شرقية,400,3400,1360000
أرض,سكني, الرياض ,غربية,400,3400,1360000
أرض,سكني, الرياض ,شرقية,400,750,300000
أرض,سكني, الرياض ,شمالية غربية,405,750,303750
أرض,سكني, الرياض ,جنوبية,400,750,300000
أرض,سكني, حي المهدية ,شمالية شرقية,400,2570,1028000
أرض,سكني, الرياض ,شرقية,400,2570,1028000
أرض,سكني, الرياض ,شمالية شرقية,420,2570,1079400
أرض,سكني, الرياض ,غربية,400,2570,1028000
أرض,سكني, حي النرجس ,جنوبية غربية,1400,8000,11200000
أرض,سكني, حي الحزم ,جنوبية,675,6000,4050000
أرض,سكني, حي عكاظ ,غربية,2520,6000,15120000
أرض,سكني, الرياض ,غربية,425,6000,2550000
أرض,سكني, الرياض ,جنوبية غربية,420,714,299880
أرض,سكني, حي البيان ,شمالية,375,714,267750
أرض,سكني, حي البديعة ,ثلاث شوارع,4260,3521,14999460
أرض,سكني, الرياض ,جنوبية,375,1220,457500
أرض,سكني, حي البديعة ,جنوبية شرقية,735,1632,1199520
أرض,سكني, حي الملك فهد ,شمالية شرقية,1419,4200,5959800
أرض,سكني, الرياض ,جنوبية شرقية,471,3500,1648500
أرض,سكني, الرياض ,شمالية شرقية,450,2000,900000
أرض,سكني, حي المحمدية ,جنوبية,360,7500,2700000
أرض,سكني, حي النهضة ,غربية,432,1260,544320
أرض,سكني, حي المهدية ,شمالية,675,3000,2025000
أرض,سكني, الرياض ,شرقية,379,3000,1137000
أرض,سكني, ضاحية نمار ,شمالية,437,3000,1311000
أرض,سكني, الرياض ,شرقية,759,1317,999603
أرض,سكني, حي العارض ,غربية,432,4650,2008800
أرض,سكني, الرياض ,غربية,1050,809,849450
أرض,سكني, الرياض ,شمالية,450,533,239850
أرض,سكني, حي الربيع ,غربية,750,7000,5250000
أرض,سكني, حي النهضة ,شمالية,450,7000,3150000
أرض,سكني, الرياض ,شمالية,375,7000,2625000
أرض,سكني, الرياض ,غربية,300,834,250200
أرض,سكني, حي العقيق ,غربية,300,834,250200
أرض,سكني, العيينة ,جنوبية,937,3800,3560600
أرض,سكني, الرياض ,شرقية,300,1900,570000
أرض,سكني, الرياض ,شمالية,750,1900,1425000
أرض,سكني, حي النرجس ,شرقية,520,5200,2704000
أرض,سكني, حي المهدية ,غربية,410,2439,999990
أرض,سكني, حي المهدية ,شرقية,900,2439,2195100
أرض,سكني, حي اليرموك ,جنوبية,1089,3300,3593700
أرض,سكني, الرياض ,جنوبية,450,1488,669600
أرض,سكني, حي حطين ,جنوبية شرقية,1950,10000,19500000
أرض,سكني, حي النخيل ,ثلاث شوارع,1987,10000,19870000
أرض,سكني, حي المهدية ,جنوبية,560,2680,1500800
أرض,سكني, حي المهدية ,جنوبية,459,2680,1230120
أرض,سكني, الرياض ,جنوبية,459,2680,1230120
أرض,سكني, الرياض ,شرقية,420,2680,1125600
أرض,سكني, حي اليرموك ,شمالية غربية,385,4700,1809500
أرض,سكني, الرياض ,جنوبية,375,4700,1762500
أرض,سكني, حي النفل ,شمالية,375,5600,2100000
أرض,سكني, حي النفل ,غربية,428,5600,2396800
أرض,سكني, حي العارض ,شمالية,500,4400,2200000
أرض,سكني, حي البرية ,جنوبية,630,850,535500
أرض,سكني, حي الصناعية القديمة ,جنوبية شرقية,1849,850,1571650
أرض,سكني, حي النرجس ,شمالية شرقية,944,6000,5664000
أرض,سكني, حي المهدية ,شمالية,460,6000,2760000
أرض,سكني, حي البيان ,جنوبية,375,6000,2250000
أرض,سكني, حي عريض ,جنوبية,375,6000,2250000
أرض,سكني, الرياض ,شرقية,508,826,419608
أرض,سكني, حي القيروان ,شمالية,900,5700,5130000
أرض,سكني, حي ظهرة لبن ,شمالية,400,1800,720000
أرض,سكني, حي ظهرة نمار ,شمالية,400,1800,720000
أرض,سكني, الرياض ,جنوبية,1800,1800,3240000
أرض,سكني, الرياض ,جنوبية,1800,1800,3240000
أرض,سكني, الرياض ,شرقية,450,7888,3549600
أرض,سكني, حي الخير ,شمالية,1714,7888,13520032
أرض,سكني, حي عرقة ,غربية,653,4800,3134400
أرض,سكني, حي القيروان ,شمالية,900,422,379800
أرض,سكني, الرياض ,شمالية,750,1533,1149750
أرض,سكني, الرياض ,غربية,468,1533,717444
أرض,سكني, الرياض ,جنوبية,750,1200,900000
أرض,سكني, حي المروة ,جنوبية,325,1200,390000
أرض,سكني, الرياض ,جنوبية,412,6400,2636800
أرض,سكني, حي النرجس ,جنوبية غربية,1000,6400,6400000
أرض,سكني, الرياض ,شمالية,750,1160,870000
أرض,سكني, حي ضاحية نمار ,جنوبية,450,1160,522000
أرض,سكني, حي الدار البيضاء ,شمالية,750,1600,1200000
أرض,سكني, الرياض ,شمالية,750,1600,1200000
أرض,سكني, حي العزيزية ,شمالية غربية,26966,1000,26966000
أرض,سكني, الرياض ,جنوبية,750,1230,922500
أرض,سكني, الرياض ,جنوبية,750,1133,849750
أرض,سكني, ضاحية نمار ,شمالية,900,6000,5400000
أرض,سكني, حي المهدية ,شرقية,700,2500,1750000
أرض,سكني, الرياض ,شمالية غربية,2000,865,1730000
أرض,سكني, الرياض ,شرقية,750,1280,960000
أرض,تجاري, حي عكاظ ,شمالية,900,4000,3600000
أرض,تجاري, حي عكاظ ,جنوبية شرقية,1600,968,1548800
أرض,تجاري, حي المربع ,شمالية,437,2300,1005100
أرض,تجاري, حي المربع ,ثلاث شوارع,495,2300,1138500
أرض,تجاري, حي النسيم الغربي ,شرقية,750,1240,930000
أرض,تجاري, حي ظهرة لبن ,جنوبية,432,7000,3024000
أرض,تجاري, حي النرجس ,جنوبية,345,7000,2415000
أرض,تجاري, حي النسيم الغربي ,جنوبية,345,7000,2415000
أرض,تجاري, حي الشرق ,جنوبية,437,7000,3059000
أرض,تجاري, ضاحية نمار ,جنوبية,300,7000,2100000
أرض,تجاري, ضاحية نمار ,شمالية,598,752,449696
أرض,تجاري, حي طويق ,ثلاث شوارع,5595,2700,15106500
أرض,سكني, الرياض ,جنوبية,405,4400,1782000
أرض,سكني, الرياض ,جنوبية,407,1000,407000
أرض,سكني, الرياض ,شرقية,2520,1000,2520000
أرض,سكني, حي النرجس ,جنوبية,345,6200,2139000
أرض,سكني, حي ظهرة لبن ,شمالية,450,4500,2025000
أرض,سكني, حي ظهرة لبن ,شمالية,375,1500,562500
أرض,سكني, حي النرجس ,غربية,22300,2700,60210000
أرض,سكني, حي العارض ,جنوبية,495,4200,2079000
أرض,سكني, حي القادسية ,أربع شوارع,10000,2400,24000000
أرض,سكني, حي خشم العان ,أربع شوارع,10000,2400,24000000
أرض,سكني, حي عرقة ,غربية,1400,2400,3360000
أرض,سكني, حي المشرق ,شمالية,900,559,503100
أرض,سكني, الرياض ,شمالية,900,559,503100
أرض,سكني, حي الصفا ,غربية,400,3600,1440000
أرض,سكني, الرياض ,غربية,588,3600,2116800
أرض,سكني, حي الغنامية ,ثلاث شوارع,4250,3600,15300000
أرض,سكني, العيينة ,شمالية,438,2950,1292100
أرض,سكني, حي المهدية ,غربية,350,2950,1032500
أرض,سكني, الرياض ,شمالية,362,1670,604540
أرض,سكني, الرياض ,شمالية,930,560,520800
أرض,سكني, الرياض ,شرقية,700,550,385000
أرض,سكني, الرياض ,جنوبية,4772,550,2624600
أرض,سكني, حي المهدية ,جنوبية,4772,550,2624600
أرض,سكني, حي الشفا ,جنوبية,535,1730,925550
أرض,سكني, حي الملك فيصل ,جنوبية,900,1730,1557000
أرض,سكني, حي الملك فيصل ,شمالية,390,4200,1638000
أرض,سكني, الرياض ,شمالية غربية,432,4200,1814400
أرض,سكني, حي المهدية ,شمالية غربية,432,4200,1814400
أرض,سكني, طريق النفود ,شمالية,400,575,230000
أرض,سكني, حي المشرق ,شمالية,400,575,230000
أرض,سكني, حي المشرق ,شمالية,763,575,438725
أرض,سكني, الرياض ,شرقية,750,575,431250
أرض,سكني, الرياض ,جنوبية,750,575,431250
أرض,سكني, الرياض ,شمالية,360,575,207000
أرض,تجاري, حي غرناطة ,شمالية,575,5800,3335000
أرض,تجاري, حي السلي ,شرقية,15000,1533,22995000
أرض,تجاري, الرياض ,شمالية,420,2857,1199940
أرض,تجاري, حي النرجس ,شمالية غربية,900,2857,2571300
أرض,تجاري, حي المهدية ,شمالية,420,2857,1199940
أرض,تجاري, حي الخير ,شمالية,455,3200,1456000
أرض,تجاري, حي المغرزات ,شمالية,514,7000,3598000
أرض,تجاري, الرياض ,شمالية,514,7000,3598000
أرض,تجاري, الرياض ,شمالية,375,7000,2625000
أرض,تجاري, الرياض ,شمالية,375,1466,549750
أرض,تجاري, حي المهدية ,شمالية,500,3600,1800000
أرض,تجاري, حي الخير ,شمالية,503,1775,892825
أرض,تجاري, حي طويق ,شمالية,503,1775,892825
أرض,تجاري, حي القيروان ,غربية,600,6400,3840000
أرض,تجاري, حي النرجس ,شمالية غربية,962,6400,6156800
أرض,تجاري, الرياض ,غربية,375,1000,375000
أرض,سكني, حي عريض ,جنوبية شرقية,517,774,400158
أرض,سكني, حي الخير ,غربية,354,1800,637200
أرض,سكني, حي عرقة ,شمالية,600,1800,1080000
أرض,سكني, حي عرقة ,جنوبية,412,3200,1318400
أرض,سكني, حي النرجس ,جنوبية,458,3200,1465600
أرض,سكني, حي المغرزات ,جنوبية شرقية,1050,7500,7875000
أرض,سكني, الرياض ,شرقية,810,1360,1101600
أرض,سكني, الرياض ,شرقية,437,1360,594320
أرض,سكني, حي القيروان ,غربية,600,6350,3810000
أرض,سكني, الرياض ,شمالية,782,1000,782000
أرض,سكني, حي الرمال ,جنوبية,416,3200,1331200
أرض,سكني, الرياض ,شمالية,744,1000,744000
أرض,سكني, حي عريض ,شمالية,3493,1000,3493000
أرض,سكني, حي بدر ,شرقية,351,1000,351000
أرض,سكني, الرياض ,ثلاث شوارع,9569,1000,9569000
أرض,سكني, حي غرناطة ,ثلاث شوارع,4187,1000,4187000
أرض,سكني, حي ظهرة لبن ,شمالية,900,3800,3420000
أرض,سكني, حي ظهرة لبن ,جنوبية,731,3800,2777800
أرض,سكني, حي ظهرة لبن ,شرقية,2500,6800,17000000
أرض,سكني, حي النهضة ,شرقية,362,2700,977400
أرض,سكني, الرياض ,شمالية,600,800,480000
أرض,سكني, حي السلي ,شمالية,750,1800,1350000
أرض,سكني, حي المهدية ,شمالية,450,1800,810000
أرض,سكني, حي المهدية ,جنوبية,450,1800,810000
أرض,سكني, حي اشبيلية ,أربع شوارع,5670,4900,27783000
أرض,سكني, العيينة ,جنوبية,630,1190,749700
أرض,سكني, العيينة ,جنوبية,747,414,309258
أرض,سكني, حي الخير ,شرقية,375,414,155250
أرض,سكني, الرياض ,غربية,432,1200,518400
أرض,سكني, الرياض ,شرقية,375,1200,450000
أرض,سكني, الرياض ,شمالية,750,1200,900000
أرض,سكني, حي النهضة ,شرقية,420,3000,1260000
أرض,سكني, حي النرجس ,شمالية غربية,900,4800,4320000
أرض,سكني, حي النرجس ,شمالية,720,4800,3456000
أرض,سكني, الرياض ,جنوبية,375,1333,499875
أرض,سكني, حي المروج ,شمالية شرقية,900,5500,4950000
أرض,سكني, حي النرجس ,جنوبية,896,5500,4928000
أرض,سكني, حي الحمراء ,شرقية,1125,4800,5400000
أرض,سكني, حي عريض ,شرقية,375,900,337500
أرض,سكني, طريق سعيد ابن زيد ,شرقية,375,900,337500
أرض,سكني, الرياض ,شمالية,437,1167,509979
أرض,سكني, حي الرمال ,جنوبية,412,3150,1297800
أرض,سكني, حي العارض ,جنوبية,638,3150,2009700
أرض,سكني, الرياض ,شمالية,375,1466,549750
أرض,سكني, حي النرجس ,شمالية,810,1466,1187460
أرض,سكني, حي العلا ,جنوبية,750,1466,1099500
أرض,سكني, حي ظهرة لبن ,جنوبية,450,3000,1350000
أرض,سكني, حي عريض ,شمالية,400,3000,1200000
أرض,سكني, حي العزيزية ,أربع شوارع,14835,3000,44505000
أرض,سكني, حي العزيزية ,جنوبية,437,1200,524400
أرض,سكني, الرياض ,شرقية,425,1200,510000
أرض,سكني, الرياض ,جنوبية شرقية,475,1200,570000
أرض,سكني, الرياض ,شمالية,438,1200,525600
أرض,سكني, الرياض ,جنوبية شرقية,472,1200,566400
أرض,سكني, حي النرجس ,شمالية,900,1200,1080000
أرض,سكني, حي ظهرة لبن ,شمالية,400,1200,480000
أرض,سكني, الرياض ,شرقية,507,1200,608400
أرض,سكني, الرياض ,جنوبية,614,1200,736800
أرض,سكني, حي العارض ,شرقية,400,4500,1800000
أرض,سكني, الرياض ,شرقية,371,4500,1669500
أرض,سكني, طريق النفود ,شمالية,382,4500,1719000
أرض,سكني, حي النهضة ,شمالية,450,2650,1192500
أرض,سكني, حي المهدية ,جنوبية,600,2650,1590000
أرض,سكني, حي بنبان ,شمالية شرقية,4800,5000,24000000
أرض,سكني, الرياض ,شمالية شرقية,4800,5000,24000000
أرض,سكني, الرياض ,جنوبية,630,5000,3150000
أرض,سكني, الرياض ,غربية,403,5000,2015000
أرض,سكني, الرياض ,شمالية شرقية,357,5000,1785000
أرض,سكني, حي ظهرة لبن ,شمالية,450,2555,1149750
أرض,سكني, الرياض ,غربية,414,719,297666
أرض,سكني, الرياض ,جنوبية,744,1100,818400
أرض,تجاري وسكني, الرياض ,شمالية,900,3000,2700000
أرض,تجاري وسكني, الرياض ,غربية,954,713,680202
أرض,تجاري وسكني, الرياض ,شمالية,900,713,641700
أرض,سكني, الرياض ,شمالية,744,1209,900000
أرض,سكني, حي بدر ,غربية,345,1304,449880
أرض,سكني, حي بدر ,شمالية,2000,1304,2608000
أرض,سكني, حي المغرزات ,شمالية,2000,1304,2608000
أرض,سكني, حي المغرزات ,جنوبية غربية,969,1304,1263576
أرض,سكني, العيينة ,شمالية,4956,2100,10407600
أرض,سكني, حي المشرق ,شمالية شرقية,2000,2100,4200000
أرض,سكني, حي عريض ,جنوبية غربية,400,800,320000
