نوع العقار,الغرض,الحي,الواجهة,المساحة,سعر المتر,السعر الإجمالي
أرض,سكني, حي العارض ,ثلاث شوارع,5450,4600,25070000
أرض,سكني, حي الزاهر ,شمالية,936,801,749736
أرض,سكني, حي المصفاة ,شرقية,600,555,333000
أرض,سكني, الرياض ,جنوبية,750,1100,825000
أرض,سكني, حي الشرق ,شمالية,1850,500,925000
أرض,سكني, حي الشرق ,غربية,1561,1300,2029300
أرض,سكني, حي المهدية ,شمالية,456,3400,1550400
أرض,تجاري, حي المهدية ,جنوبية,900,7600,6840000
أرض,سكني, حي المهدية ,غربية,96755,1000,96755000
أرض,سكني, حي الخير ,جنوبية,840,1800,1512000
أرض,سكني, حي ضاحية نمار ,شمالية,880,1380,1214400
أرض,سكني, حي البيان ,غربية,810,2600,2106000
أرض,تجاري وسكني, حي المهدية ,شمالية شرقية,900,3334,3000600
أرض,سكني, حي المهدية ,جنوبية غربية,675,4296,2899800
أرض,سكني, القرينه ,جنوبية غربية,630,1000,630000
أرض,تجاري وسكني, الرياض ,جنوبية,900,720,648000
أرض,تجاري وسكني, ملهم ,غربية,630,1270,800100
أرض,تجاري وسكني, الرياض ,غربية,630,1270,800100
أرض,تجاري وسكني, الرياض ,شرقية,750,1500,1125000
أرض,تجاري وسكني, الرياض ,شمالية,500,4300,2150000
أرض,سكني, حي عريض ,ثلاث شوارع,400,1125,450000
أرض,سكني, حي الملقا ,غربية,636,7000,4452000
أرض,سكني, حي بنبان ,جنوبية شرقية,10000,1000,10000000
أرض,سكني, ملهم ,جنوبية شرقية,10000,1000,10000000
أرض,سكني, حي الحمراء ,شمالية,1125,5000,5625000
أرض,تجاري وسكني, حي الشفا ,جنوبية غربية,971,2059,1999289
أرض,تجاري وسكني, حي النظيم ,جنوبية شرقية,2500,2000,5000000
أرض,تجاري وسكني, حي الرمال ,جنوبية,457,2100,959700
أرض,تجاري وسكني, حي الدفاع ,جنوبية,457,2100,959700
أرض,تجاري وسكني, حي الدفاع ,شمالية,1173,511,599403
أرض,تجاري, الرياض ,جنوبية,2000,3500,7000000
أرض,سكني, حي العريجاء الغربية ,جنوبية,400,1500,600000
أرض,تجاري وسكني, حي ظهرة لبن ,جنوبية غربية,1050,2380,2499000
أرض,تجاري وسكني, حي العريجاء الغربي ,غربية,313,2000,626000
أرض,سكني, حي العريجاء الغربي ,جنوبية,472,1695,800040
