نوع العقار,المدينة,الحي,الواجهة,عدد الغرف,عدد الصالات,عدد الحمامات,عرض الشارع,المساحة,درج صالة,مطبخ,غرفة خادمة,غرفة سائق,ملحق,حوش,مسبح,قبو,مدخل سيارة,مصعد,السعر الاجمالي
فيلا, الرياض , حي العارض ,شمالية,4,3,5+,لا يوجد,204.0,1,1,1,0,1,0,0,0,1,1,2000000
فيلا, الرياض , حي الوادي ,غربية,5,4,5+,لا يوجد,375.0,1,1,1,1,1,1,0,0,1,0,2200000
فيلا, الرياض , حي العارض ,شمالية,6,2,4,لا يوجد,400.0,1,1,1,0,0,1,0,0,1,0,3800000
فيلا, الرياض , حي النرجس ,جنوبية شرقية,4,2,5+,لا يوجد,315.0,1,1,0,0,0,0,0,0,0,0,2900000
فيلا, الرياض , حي الياسمين ,شمالية,5,4,5+,لا يوجد,660.0,1,1,1,1,1,1,0,0,1,0,8000000
فيلا, الرياض , حي الملقا ,شرقية,5,3,5+,لا يوجد,525.0,1,1,1,1,0,1,1,1,1,1,9000000
فيلا, الرياض , حي النرجس ,جنوبية,5,3,5+,لا يوجد,300.0,1,1,1,1,0,0,1,0,0,1,2950000
فيلا, الرياض , حي العليا ,شرقية,5,3,5+,لا يوجد,260.0,1,0,1,0,1,1,0,0,1,1,2800000
فيلا, الرياض , حي النزهة ,شمالية شرقية,7+,2,5+,لا يوجد,1050.0,1,1,1,1,1,1,0,1,1,1,7800000
فيلا, الرياض , حي الملقا ,شرقية,6,2,5+,لا يوجد,480.0,1,1,1,1,1,1,0,0,1,1,5500000
فيلا, الرياض , حي العارض ,جنوبية,5,2,5+,لا يوجد,360.0,1,1,1,1,1,1,0,0,1,1,2850000
فيلا, الرياض , حي العارض ,شمالية,7+,5,5+,لا يوجد,630.0,0,1,1,0,1,1,0,0,1,0,6050000
فيلا, الرياض , حي التعاون ,غربية,4,7+,5+,20.0,420.0,1,1,1,1,0,1,0,0,1,1,5000000
فيلا, الرياض , حي التعاون ,شمالية,7+,2,5+,18.0,300.0,1,1,1,1,0,0,0,0,1,1,2850000
فيلا, الرياض , حي العارض ,شمالية شرقية,7+,3,5+,لا يوجد,221.0,1,0,1,1,0,1,0,0,1,1,2200000
فيلا, الرياض , حي العارض ,شمالية,7+,3,5+,لا يوجد,300.0,1,0,1,1,0,1,0,0,1,1,2300000
فيلا, الرياض , حي العارض ,شمالية,6,3,5+,لا يوجد,204.0,1,0,1,0,0,1,0,0,1,1,2000000
فيلا, الرياض , حي النزهة ,ثلاث شوارع,7+,4,5+,لا يوجد,2450.0,1,1,1,1,1,1,1,1,1,0,18000000
فيلا, الدرعية, العيينة ,غربية,7+,2,5+,لا يوجد,480.0,0,1,0,0,0,1,0,0,0,0,2300000
فيلا, الرياض , حي العارض ,شرقية,5,2,5+,لا يوجد,510.0,1,1,1,1,1,1,1,0,1,1,4000000
فيلا, امارة منطقة الرياض, الرياض ,شمالية,5,3,5+,لا يوجد,280.0,1,1,1,1,0,1,0,0,1,0,2600000
فيلا, الرياض , حي العارض ,غربية,4,2,5+,لا يوجد,200.0,1,0,1,0,0,1,0,0,1,1,2100000
