,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
10498,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,السعادة,قطعة أرض-تجارى,19,46314786.5,1934.103347
10499,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,النسيم الغربي,قطعة أرض-تجارى,21,43787100.0,2505.875118
10500,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,النسيم الغربي,قطعة أرض-تجارى,13,19307500.0,2180.343511
10501,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,20,298289585.5,3355.403832
10502,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الملقا,قطعة أرض-تجارى,10,104978822.0,3205.004123
10503,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,63,1349663299.0,4659.353128
10504,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,79,1247214951.0,3647.369757
10505,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,النسيم الغربي,قطعة أرض-تجارى,9,66469660.5,2715.768033
10506,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,النسيم الغربي,قطعة أرض-تجارى,35,72541426.0,2186.63079
10507,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,27,222088470.0,2771.903943
10508,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,56,173343764.51,2378.823951
10511,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,البرية,قطعة أرض-تجارى,10,30745706.25,47.330034
10519,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,السعادة,قطعة أرض-تجارى,16,86627175.0,2074.081453
10557,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,84,603732242.5,3294.31954
10559,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,53,199154278.4,2520.378775
10560,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,38,292505225.17,1765.433079
10561,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,35,187738265.09,2503.80651
10562,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,النرجس,قطعة أرض-تجارى,9,23453390.87,1842.053458
10605,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-تجارى,11,59085376.0,5727.096708
10607,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الإزدهار,قطعة أرض-تجارى,8,35135454.06,4274.054982
10643,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,البيان,قطعة أرض-تجارى,9,28113185.75,2000.0
