,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR,location
0,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,أخرى,1,120000.0,,شرق الرياض
1,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,أخرى,1,1000000.0,,شرق الرياض
2,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,أخرى,1,167177.0,,شرق الرياض
3,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,أخرى,1,475000.0,,شرق الرياض
4,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,أخرى,1,1000000.0,,شرق الرياض
5,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,أخرى,2,1288550.0,,شرق الرياض
21,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,أخرى,3,1500000.0,,شرق الرياض
22,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,أخرى,1,17280000.0,,شمال الرياض
23,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المصانع,أخرى,1,30000.0,,جنوب الرياض
24,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الصحافة,أخرى,29,12111318.0,2735.000212,شمال الرياض
25,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الصحافة,أخرى,1,12150000.0,,شمال الرياض
26,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المصانع,أخرى,1,100000.0,,جنوب الرياض
27,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الناصرية,أخرى,3,611400.0,,غرب الرياض
28,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,أخرى,1,12150000.0,,شمال الرياض
29,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,أخرى,1,750000.0,,شرق الرياض
30,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,النظيم,أخرى,1,100000.0,,شرق الرياض
31,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,أخرى,4,2991300.0,,شمال الرياض
32,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الناصرية,أخرى,1,100000.0,,غرب الرياض
33,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الناصرية,أخرى,2,260000.0,,غرب الرياض
34,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الناصرية,أخرى,1,80000.0,,غرب الرياض
35,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,أخرى,1,1050000.0,,شرق الرياض
36,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,أخرى,2,700000.0,,شرق الرياض
37,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,غبيرا,أخرى,2,380000.0,,وسط الرياض
38,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الناصرية,أخرى,1,200000.0,,غرب الرياض
39,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الناصرية,أخرى,1,360000.0,,غرب الرياض
40,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الناصرية,أخرى,1,50000.0,,غرب الرياض
41,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الناصرية,أخرى,1,100000.0,,غرب الرياض
42,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,عرقة,أخرى,1,10028208.0,,غرب الرياض
43,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,عرقة,أخرى,2,26635800.0,,غرب الرياض
44,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الناصرية,أخرى,1,1093593.0,,غرب الرياض
45,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,أخرى,5,2200000.0,,شرق الرياض
46,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,أخرى,6,3800000.0,19718.309859,شرق الرياض
47,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,أخرى,6,4400000.0,1317.529864,شرق الرياض
48,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,أخرى,4,1600000.0,,شرق الرياض
49,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,أخرى,2,2100000.0,,شرق الرياض
50,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,عرقة,أخرى,1,150000.0,,غرب الرياض
51,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,عرقة,أخرى,2,63531110.0,,غرب الرياض
52,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,المصانع,أخرى,1,2681184.0,,جنوب الرياض
53,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النظيم,أخرى,1,907500.0,,شرق الرياض
54,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الصحافة,شقة,30,42375314.0,11283.13372,شمال الرياض
55,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الصحافة,شقة,41,39400526.0,5350.3982,شمال الرياض
56,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الصحافة,شقة,26,29923700.47,12604.208126,شمال الرياض
57,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,شقة,15,20264789.76,9414.120273,شمال الرياض
58,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الصحافة,شقة,35,55458560.0,8813.737898,شمال الرياض
59,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,شقة,4,2475000.0,,شرق الرياض
60,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,شقة,27,14041793.25,4780.114373,شرق الرياض
61,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الأندلس,شقة,1,340000.0,,شرق الرياض
62,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,شقة,2,1708050.0,,شرق الرياض
63,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,شقة,3,1135000.0,,شرق الرياض
64,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الأندلس,شقة,4,1910000.0,,شرق الرياض
65,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الأندلس,شقة,2,797000.0,,شرق الرياض
66,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,شقة,5,2541328.0,,شرق الرياض
67,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,ظهرة لبن,أخرى,1,476676.0,,غرب الرياض
72,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,أخرى,15,12508700.0,10920.000186,شمال الرياض
73,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الأندلس,شقة,2,958488.0,,شرق الرياض
74,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,شقة,6,2851483.0,3832.177761,شرق الرياض
85,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,شقة,2,1404275.0,,شرق الرياض
86,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,شقة,3,1457194.0,,شرق الرياض
87,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,شقة,6,3126000.0,3068.730538,شرق الرياض
88,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الأندلس,شقة,6,3052296.0,3428.981973,شرق الرياض
89,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الأندلس,شقة,27,21343418.69,5219.7905,شرق الرياض
90,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الصحافة,شقة,84,66559902.04,5347.29584,شمال الرياض
91,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الصحافة,شقة,194,490676767.47,8709.668172,شمال الرياض
92,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الصحافة,شقة,33,53591977.19,10000.459107,شمال الرياض
100,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الصحافة,شقة,18,22028740.54,13125.399706,شمال الرياض
101,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,عرقة,أخرى,4,50480200.0,,غرب الرياض
102,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,عرقة,أخرى,1,385000.0,,غرب الرياض
103,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,عرقة,أخرى,1,200000.0,,غرب الرياض
104,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,النظيم,شقة,5,1899046.68,,شرق الرياض
105,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,النظيم,شقة,2,505540.0,,شرق الرياض
106,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,النظيم,شقة,9,2752926.0,2170.579526,شرق الرياض
107,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,النظيم,شقة,2,435000.0,,شرق الرياض
108,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,غبيرا,أخرى,1,125000.0,,وسط الرياض
109,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,النظيم,شقة,10,5030049.0,3697.999446,شرق الرياض
110,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,النظيم,شقة,3,1302384.0,,شرق الرياض
111,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,النظيم,شقة,27,9481608.01,2356.912404,شرق الرياض
112,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,حطين,شقة,231,261450427.0,8554.253649,شمال الرياض
113,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,حطين,شقة,13,11934267.21,6921.290086,شمال الرياض
114,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,حطين,شقة,135,110090694.34,5543.133731,شمال الرياض
115,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الأندلس,شقة,1,497999.56,,شرق الرياض
116,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الأندلس,شقة,7,3726276.0,3826.939615,شرق الرياض
117,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الأندلس,شقة,3,1090000.0,,شرق الرياض
118,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,شقة,6,4252217.0,3041.248065,شرق الرياض
119,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,شقة,1,380000.0,,شرق الرياض
120,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,النظيم,شقة,2,500000.0,,شرق الرياض
130,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,العليا,شقة,21,42371199.0,20316.312245,شمال الرياض
131,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,العليا,شقة,19,232489575.0,16532.600498,شمال الرياض
132,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,العليا,شقة,12,18197020.0,21499.297073,شمال الرياض
158,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,ظهرة لبن,شقة,122,48662414.31,2536.409157,غرب الرياض
159,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,ظهرة لبن,شقة,62,22796929.39,2324.802341,غرب الرياض
160,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,ظهرة لبن,شقة,132,81070480.78,3925.57216,غرب الرياض
161,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,ظهرة لبن,شقة,99,43146010.26,2374.503949,غرب الرياض
162,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,ظهرة لبن,شقة,166,96905382.01,3861.781141,غرب الرياض
163,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,ظهرة لبن,شقة,107,42869231.01,2400.992024,غرب الرياض
164,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,ظهرة لبن,شقة,92,38797058.75,2843.265009,غرب الرياض
165,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الأندلس,شقة,30,16274048.5,4861.623053,شرق الرياض
166,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,شقة,20,15632097.84,5313.286365,شرق الرياض
167,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,شقة,5,1936490.68,,شرق الرياض
168,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,النظيم,شقة,13,6044000.0,2938.907461,شرق الرياض
169,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,النظيم,شقة,16,6093016.0,3356.593483,شرق الرياض
170,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,النظيم,شقة,27,7777624.42,1679.18536,شرق الرياض
171,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النظيم,شقة,5,1515000.0,,شرق الرياض
181,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,حطين,شقة,127,75663934.2,4271.62188,شمال الرياض
182,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,عرقة,شقة,23,24909990.0,8120.625596,غرب الرياض
183,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,عرقة,شقة,41,43497830.75,7139.64018,غرب الرياض
184,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,عمارة,1,1550998.5,,شمال الرياض
185,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,حطين,عمارة,2,1859460.0,,شمال الرياض
186,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,عرقة,شقة,36,38605903.6,8103.94398,غرب الرياض
187,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,عرقة,شقة,30,29198962.37,7795.80861,غرب الرياض
188,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العليا,شقة,9,20181730.0,20577.891836,شمال الرياض
189,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العليا,شقة,31,50073670.0,20650.398799,شمال الرياض
190,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العليا,شقة,29,87855150.0,24801.125934,شمال الرياض
191,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,العليا,شقة,25,50094100.0,20000.0,شمال الرياض
192,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,ظهرة لبن,شقة,76,30007183.36,2288.856361,غرب الرياض
193,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,ظهرة لبن,شقة,62,21748828.22,2200.095923,غرب الرياض
194,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,ظهرة لبن,شقة,37,13813052.55,2444.325696,غرب الرياض
195,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,ظهرة لبن,شقة,96,36471228.32,2306.127813,غرب الرياض
196,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,ظهرة لبن,شقة,67,26936084.31,2127.08071,غرب الرياض
197,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,ظهرة لبن,شقة,62,25129263.96,2383.934939,غرب الرياض
198,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,النظيم,عمارة,2,670000.0,,شرق الرياض
199,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الصحافة,شقة,23,31180178.17,12546.615121,شمال الرياض
200,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الصحافة,شقة,123,66156213.8,3531.671542,شمال الرياض
201,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,العليا,شقة,7,10465450.0,20633.42544,شمال الرياض
202,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,العليا,شقة,90,181492876.4,23375.341709,شمال الرياض
203,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الأندلس,فيلا,21,31878000.0,4461.803096,شرق الرياض
204,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الأندلس,فيلا,8,10794051.5,4220.625736,شرق الرياض
205,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الأندلس,فيلا,12,22702416.79,5608.987539,شرق الرياض
206,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الأندلس,فيلا,11,18124487.61,3479.518448,شرق الرياض
207,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الأندلس,فيلا,4,8000000.0,,شرق الرياض
208,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الأندلس,فيلا,7,9631940.92,3720.695541,شرق الرياض
209,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الأندلس,فيلا,10,21470000.0,6124.190235,شرق الرياض
213,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,حطين,شقة,26,15585781.0,3869.606273,شمال الرياض
214,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,حطين,شقة,3,1440000.0,,شمال الرياض
215,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الأندلس,فيلا,13,21749591.0,4140.056259,شرق الرياض
216,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الأندلس,فيلا,4,4390494.56,,شرق الرياض
217,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الأندلس,فيلا,7,8660974.49,3695.719125,شرق الرياض
218,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الأندلس,فيلا,2,2362891.0,,شرق الرياض
219,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,النظيم,شقة,16,5597538.0,2490.083465,شرق الرياض
220,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,النظيم,شقة,4,500000.0,,شرق الرياض
221,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,النظيم,شقة,13,3037502.12,2109.697235,شرق الرياض
222,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,النظيم,شقة,1,365000.0,,شرق الرياض
223,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,حطين,شقة,39,37909254.81,6121.394838,شمال الرياض
224,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,حطين,شقة,93,75910676.48,4891.858676,شمال الرياض
232,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,حطين,شقة,67,83853945.0,8915.469179,شمال الرياض
233,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,حطين,شقة,26,30353000.0,6254.877042,شمال الرياض
234,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,حطين,شقة,72,66907181.2,5644.943729,شمال الرياض
235,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,ظهرة لبن,شقة,150,84721982.42,3405.333356,غرب الرياض
236,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,حطين,شقة,36,25527390.0,4682.917483,شمال الرياض
237,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,حطين,شقة,72,49361386.56,4217.548578,شمال الرياض
238,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,حطين,عمارة,3,4257394.5,,شمال الرياض
239,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,عرقة,شقة,82,92362704.98,7243.512031,غرب الرياض
240,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,النظيم,شقة,18,3048000.0,1155.785685,شرق الرياض
241,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,العليا,فيلا,16,49680000.0,5212.278253,شمال الرياض
242,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,العليا,فيلا,13,19589100.97,5242.838344,شمال الرياض
243,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العليا,فيلا,17,93054801.36,7503.340494,شمال الرياض
244,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,العليا,فيلا,12,248947485.5,10083.218224,شمال الرياض
245,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العليا,فيلا,19,42673966.43,8038.281593,شمال الرياض
246,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,العليا,فيلا,9,24948744.25,4371.053909,شمال الرياض
247,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العليا,فيلا,28,81378812.0,6527.354581,شمال الرياض
248,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الصحافة,شقة,62,70816365.0,7946.513683,شمال الرياض
249,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الصحافة,شقة,10,10986468.5,11924.51893,شمال الرياض
250,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الصحافة,شقة,71,118419389.0,13775.335702,شمال الرياض
251,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الصحافة,شقة,167,316142875.83,16686.529744,شمال الرياض
252,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,حطين,شقة,432,471306551.44,7694.335607,شمال الرياض
253,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,حطين,شقة,62,42332349.0,4463.51378,شمال الرياض
254,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,حطين,شقة,21,13536177.0,3794.812641,شمال الرياض
255,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,حطين,شقة,5,2614000.0,,شمال الرياض
256,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,حطين,شقة,3,1290000.0,,شمال الرياض
257,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,ظهرة لبن,شقة,54,22105080.4,2380.383632,غرب الرياض
258,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,العليا,شقة,10,19483830.0,11461.563359,شمال الرياض
259,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,المصانع,أخرى,2,155000.0,,جنوب الرياض
260,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,المصانع,أخرى,1,206000.0,,جنوب الرياض
261,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الناصرية,أخرى,1,130000.0,,غرب الرياض
262,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الناصرية,أخرى,3,840500.0,,غرب الرياض
263,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,الأندلس,فيلا,2,1906989.71,,شرق الرياض
264,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,الأندلس,فيلا,3,3616695.75,,شرق الرياض
265,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,ظهرة لبن,عمارة,4,525000.0,,غرب الرياض
266,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,حطين,عمارة,1,1150000.0,,شمال الرياض
267,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,حطين,عمارة,1,1501700.0,,شمال الرياض
268,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الأندلس,فيلا,10,20940000.0,5087.96741,شرق الرياض
269,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الأندلس,فيلا,11,18782530.0,6389.023285,شرق الرياض
270,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الأندلس,فيلا,13,25728587.0,4516.061437,شرق الرياض
271,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الأندلس,فيلا,25,41144000.0,4519.449251,شرق الرياض
272,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,النظيم,عمارة,2,826000.0,,شرق الرياض
273,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الصحافة,شقة,34,63379907.83,16910.712362,شمال الرياض
274,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الصحافة,شقة,13,13454000.0,8650.197535,شمال الرياض
275,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الصحافة,شقة,27,276461515.37,9515.754648,شمال الرياض
276,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الصحافة,شقة,12,19501048.0,12975.691996,شمال الرياض
277,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,المصانع,فيلا,2,929827010.0,,جنوب الرياض
278,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المصانع,فيلا,4,8148804.0,,جنوب الرياض
279,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,المصانع,فيلا,1,1746684.5,,جنوب الرياض
280,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المصانع,فيلا,1,1184777.0,,جنوب الرياض
281,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,المصانع,فيلا,6,107170102.68,2017.640123,جنوب الرياض
282,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المصانع,فيلا,10,19911288.0,1000.000796,جنوب الرياض
283,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الصحافة,فيلا,24,74615932.08,10344.775064,شمال الرياض
284,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الصحافة,فيلا,27,75441200.15,7914.387993,شمال الرياض
285,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الصحافة,فيلا,15,32122606.77,5031.693182,شمال الرياض
286,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الصحافة,فيلا,8,17270000.0,4983.633295,شمال الرياض
287,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الصحافة,فيلا,23,198988113.6,12273.88535,شمال الرياض
288,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,عرقة,أخرى,3,707000.0,,غرب الرياض
289,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,غبيرا,أخرى,1,140000.0,,وسط الرياض
290,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,غبيرا,أخرى,1,85000.0,,وسط الرياض
291,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الأندلس,فيلا,7,8670928.95,3213.953468,شرق الرياض
292,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الأندلس,فيلا,17,36757381.0,6085.422459,شرق الرياض
293,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الأندلس,فيلا,20,94506317.5,4752.230474,شرق الرياض
294,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الأندلس,فيلا,17,25158330.4,3855.020278,شرق الرياض
295,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الأندلس,فيلا,5,7910002.4,,شرق الرياض
296,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الصحافة,شقة,17,21966204.99,11388.543487,شمال الرياض
297,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الصحافة,شقة,21,27911528.0,10894.83702,شمال الرياض
298,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الصحافة,شقة,28,44368982.0,9317.006407,شمال الرياض
299,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الصحافة,شقة,29,41087707.38,10134.542986,شمال الرياض
300,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,العليا,فيلا,35,122203512.52,8122.261977,شمال الرياض
301,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,النظيم,عمارة,10,977000.0,2301.018483,شرق الرياض
302,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,النظيم,شقة,1,277500.0,,شرق الرياض
303,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,النظيم,شقة,2,539935.8,,شرق الرياض
304,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,النظيم,شقة,1,220000.0,,شرق الرياض
305,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,المصانع,فيلا,2,3320000.0,,جنوب الرياض
306,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,المصانع,فيلا,1,2200000.0,,جنوب الرياض
307,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المصانع,فيلا,2,5823200.0,,جنوب الرياض
308,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,المصانع,فيلا,2,6135500.0,,جنوب الرياض
309,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الصحافة,فيلا,19,228624500.0,12444.852941,شمال الرياض
310,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الصحافة,فيلا,18,154340000.0,11994.246109,شمال الرياض
311,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الصحافة,فيلا,15,71535836.31,7276.955657,شمال الرياض
312,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الصحافة,فيلا,26,80772481.82,5754.093612,شمال الرياض
313,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الصحافة,فيلا,11,30143965.0,5560.084139,شمال الرياض
314,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الصحافة,فيلا,7,12294498.0,5146.31588,شمال الرياض
