,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR,location
26920,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,قرطبة,قطعة أرض-سكنى,73,116353003.94,3328.040889,شرق الرياض
27005,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الزاهر,قطعة أرض-سكنى,166,106863099.3,703.152246,شرق الرياض
27006,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الزاهر,قطعة أرض-سكنى,12,3920000.0,437.701274,شرق الرياض
27007,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الزاهر,قطعة أرض-سكنى,15,2634000.0,270.756457,شرق الرياض
27008,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الزاهر,قطعة أرض-سكنى,15,1510000.0,186.38724,شرق الرياض
27009,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الزاهر,قطعة أرض-سكنى,113,58864400.0,510.224961,شرق الرياض
27010,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,السليمانية,قطعة أرض-سكنى,32,68807695.74,4325.128918,شمال الرياض
27026,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,السليمانية,قطعة أرض-سكنى,39,210963102.97,3197.472366,شمال الرياض
27027,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,السليمانية,قطعة أرض-سكنى,47,79899811.85,3316.273304,شمال الرياض
27028,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,السليمانية,قطعة أرض-سكنى,40,66223174.0,2901.876275,شمال الرياض
27029,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الشهداء,قطعة أرض-سكنى,9,14063092.6,2946.60865,شرق الرياض
27030,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الشهداء,قطعة أرض-سكنى,7,6562159.37,2800.0,شرق الرياض
27031,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الشهداء,قطعة أرض-سكنى,2,1590000.0,,شرق الرياض
27032,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الشهداء,قطعة أرض-سكنى,6,4950500.0,2546.91358,شرق الرياض
27033,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,اليرموك,قطعة أرض-سكنى,48,47136214.24,2118.933404,شرق الرياض
27034,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,اليرموك,قطعة أرض-سكنى,50,57453788.45,2424.364297,شرق الرياض
27035,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,اليرموك,قطعة أرض-سكنى,55,50675061.24,2098.072852,شرق الرياض
27064,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,اليرموك,قطعة أرض-سكنى,80,81968537.33,1981.308622,شرق الرياض
27065,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المرسلات,قطعة أرض-سكنى,9,24561193.93,4463.945455,شمال الرياض
27066,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المرسلات,قطعة أرض-سكنى,11,41139326.97,3912.610249,شمال الرياض
27067,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المرسلات,قطعة أرض-سكنى,25,36643113.12,1337.684937,شمال الرياض
27068,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المرسلات,قطعة أرض-سكنى,23,44254027.97,2641.034298,شمال الرياض
27069,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,اليرموك,قطعة أرض-سكنى,66,72815132.61,1695.370489,شرق الرياض
27070,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,السليمانية,قطعة أرض-سكنى,55,90201260.42,3447.414481,شمال الرياض
27071,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,السليمانية,قطعة أرض-سكنى,33,54319536.6,2934.960071,شمال الرياض
27158,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,السليمانية,قطعة أرض-سكنى,28,37315382.76,2786.4855,شمال الرياض
27159,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,السليمانية,قطعة أرض-سكنى,44,57434511.12,2273.240863,شمال الرياض
27160,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الشهداء,قطعة أرض-سكنى,7,31219084.31,2071.06621,شرق الرياض
27161,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الشهداء,قطعة أرض-سكنى,3,5220000.0,,شرق الرياض
27162,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الشهداء,قطعة أرض-سكنى,2,1344702.67,,شرق الرياض
27163,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الشهداء,قطعة أرض-سكنى,5,8972487.68,,شرق الرياض
27184,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,183,322784025.15,3455.824186,شمال الرياض
27185,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,119,184797592.7,3088.037736,شمال الرياض
27214,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,48,102491863.8,4602.583531,شمال الرياض
27215,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,212,308751597.98,2365.907717,شمال الرياض
27216,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,74,143473052.09,4123.898324,شمال الرياض
27217,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,233,355659862.05,2184.886406,شمال الرياض
27218,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,143,344899921.2,4059.264895,شمال الرياض
27219,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,64,105036684.47,4233.102087,شمال الرياض
27220,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,93,170698460.64,4213.810026,شمال الرياض
27221,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,118,209958696.73,3535.096045,شمال الرياض
27222,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الياسمين,قطعة أرض-سكنى,180,331009259.77,3269.321439,شمال الرياض
27223,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,مغرزات,قطعة أرض-سكنى,12,31729200.0,3624.212715,شمال الرياض
27224,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,مغرزات,قطعة أرض-سكنى,14,26574034.29,3060.964324,شمال الرياض
27272,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,مغرزات,قطعة أرض-سكنى,7,9876232.32,2288.46054,شمال الرياض
27301,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الشعلة,قطعة أرض-سكنى,174,60459000.0,519.85546,شرق الرياض
27302,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الشعلة,قطعة أرض-سكنى,6,457000.0,132.208157,شرق الرياض
27303,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الشعلة,قطعة أرض-سكنى,1,40000.0,,شرق الرياض
27304,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الشعلة,قطعة أرض-سكنى,90,21914457.0,327.858137,شرق الرياض
27305,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,10,12686398.5,3223.170401,شمال الرياض
27306,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,16,27524019.14,3738.435179,شمال الرياض
27307,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,29,58395668.98,3155.635017,شمال الرياض
27308,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,35,48348338.0,2370.427515,شمال الرياض
27309,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,العزيزية,قطعة أرض-سكنى,43,28297763.44,1515.226792,جنوب الرياض
27316,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,العزيزية,قطعة أرض-سكنى,79,77632335.52,1178.233364,جنوب الرياض
27317,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,السلي,قطعة أرض-سكنى,34,44231018.67,1400.204521,شرق الرياض
27318,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,السلي,قطعة أرض-سكنى,4,13633000.0,,شرق الرياض
27319,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,العمل,قطعة أرض-سكنى,2,2175000.0,,وسط الرياض
27320,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,العمل,قطعة أرض-سكنى,2,2293734.0,,وسط الرياض
27321,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,العمل,قطعة أرض-سكنى,1,700000.0,,وسط الرياض
27322,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,السلي,قطعة أرض-سكنى,8,31701500.0,813.374485,شرق الرياض
27323,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,السلي,قطعة أرض-سكنى,6,30436675.6,1500.0,شرق الرياض
27324,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الشعلة,قطعة أرض-سكنى,1,45000.0,,شرق الرياض
27325,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المصيف,قطعة أرض-تجارى,3,87373750.0,,شمال الرياض
27326,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المصيف,قطعة أرض-تجارى,1,2050000.0,,شمال الرياض
27327,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,السلي,قطعة أرض-سكنى,7,76555520.0,1086.627475,شرق الرياض
27328,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,السلي,قطعة أرض-سكنى,3,20448000.0,,شرق الرياض
27329,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,السلي,قطعة أرض-سكنى,3,26200000.0,,شرق الرياض
27330,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,28,41152200.0,2518.124578,شمال الرياض
27331,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,17,18543344.46,2089.330862,شمال الرياض
27332,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,12,21176350.0,4098.54117,شمال الرياض
27333,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,18,26303924.26,2031.067479,شمال الرياض
27334,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,21,33221522.69,4067.971174,شمال الرياض
27335,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,17,21513551.5,1903.024844,شمال الرياض
27336,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,26,42618313.39,3578.026728,شمال الرياض
27337,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,العزيزية,قطعة أرض-سكنى,91,67056483.48,1361.648172,جنوب الرياض
27374,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الشعلة,قطعة أرض-سكنى,102,28819000.0,399.199432,شرق الرياض
27375,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الشعلة,قطعة أرض-سكنى,68,15933333.33,384.272269,شرق الرياض
27376,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الشعلة,قطعة أرض-سكنى,3,745000.0,,شرق الرياض
27377,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الشميسي,قطعة أرض-سكنى,3,532000.0,,وسط الرياض
27378,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الشميسي,قطعة أرض-سكنى,7,1092500.0,1586.390326,وسط الرياض
27379,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,العزيزية,قطعة أرض-سكنى,57,36384747.23,1067.891153,جنوب الرياض
27380,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,النخبة,قطعة أرض-سكنى,73,27730200.0,345.666808,شرق الرياض
27381,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,النخبة,قطعة أرض-سكنى,58,24685000.0,481.68025,شرق الرياض
27382,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,النخبة,قطعة أرض-سكنى,1,300000.0,,شرق الرياض
27383,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,النخبة,قطعة أرض-سكنى,5,399500.0,,شرق الرياض
27384,2023,1,الربع الأول,20231,منطقة الرياض,الرياض,الفاروق,قطعة أرض-سكنى,19,17877887.0,2425.177691,وسط الرياض
27385,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,العمل,قطعة أرض-سكنى,6,17866329.9,1099.999992,وسط الرياض
27386,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,العمل,قطعة أرض-سكنى,2,1775199.0,,وسط الرياض
27387,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,العمل,قطعة أرض-سكنى,1,100000.0,,وسط الرياض
27388,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المصيف,قطعة أرض-تجارى,3,16020000.0,,شمال الرياض
27412,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المصيف,قطعة أرض-تجارى,4,16750000.0,,شمال الرياض
27413,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,17,33856681.0,3496.427054,شمال الرياض
27414,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,17,18268873.0,2717.587939,شمال الرياض
27415,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,24,27255885.0,2106.476742,شمال الرياض
27416,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,المصيف,قطعة أرض-سكنى,23,23955392.0,2058.719417,شمال الرياض
27417,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,3,3829897.2,,شمال الرياض
27418,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,4,3680089.0,,شمال الرياض
27419,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,2,4014000.0,,شمال الرياض
27420,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الهدا,قطعة أرض-سكنى,5,39660000.0,,وسط الرياض
27421,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الهدا,قطعة أرض-سكنى,26,290827768.79,3620.061736,وسط الرياض
27422,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الهدا,قطعة أرض-سكنى,32,276220002.0,3542.107979,وسط الرياض
27423,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الهدا,قطعة أرض-سكنى,5,29960900.0,,وسط الرياض
27430,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,,قطعة أرض-سكنى,2,1800000.0,,Unknown
27431,2019,2,الربع الثانى,20192,منطقة الرياض,الرياض,المروة,قطعة أرض-سكنى,12,7620623.5,961.754199,جنوب الرياض
27432,2018,3,الربع الثالث,20183,منطقة الرياض,الرياض,المروة,قطعة أرض-سكنى,12,6824500.0,918.127549,جنوب الرياض
27439,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,6,8761480.0,2759.305453,شمال الرياض
27440,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,3,10094793.2,,شمال الرياض
27441,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,6,148723076.75,3568.424441,شمال الرياض
27442,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,8,14603000.0,4318.633236,شمال الرياض
27443,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,4,142244999.7,,شمال الرياض
27444,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,1,1257001.0,,شمال الرياض
27445,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,9,12818877.94,2799.146444,شمال الرياض
27456,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الملك عبدالعزيز,قطعة أرض-سكنى,7,9059233.3,2813.339119,شمال الرياض
27457,2020,2,الربع الثانى,20202,منطقة الرياض,الرياض,السلام,قطعة أرض-سكنى,21,20625920.0,1866.10494,شرق الرياض
27458,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,السلام,قطعة أرض-سكنى,13,6855860.0,1723.348571,شرق الرياض
27459,2018,4,الربع الرابع,20184,منطقة الرياض,الرياض,السلام,قطعة أرض-سكنى,22,12789220.09,1392.696919,شرق الرياض
27460,2018,1,الربع الأول,20181,منطقة الرياض,الرياض,السلام,قطعة أرض-سكنى,11,9993700.0,1689.294512,شرق الرياض
