,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
18079,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المناخ,قطعة أرض-سكنى,31,8957000.0,570.02901
18080,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,الملك فهد,قطعة أرض-سكنى,15,29774600.0,3773.551491
18081,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,الملك فهد,قطعة أرض-سكنى,14,22705000.0,3325.270608
18082,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,الملك فهد,قطعة أرض-سكنى,14,30590000.0,2807.391204
18083,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,الملك فهد,قطعة أرض-سكنى,26,34694002.79,2585.32361
18084,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,المناخ,قطعة أرض-سكنى,16,6570500.0,941.590202
18085,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,المناخ,قطعة أرض-سكنى,26,7027758.0,677.684793
18086,2019,4,الربع الرابع,20194,منطقة الرياض,الرياض,المناخ,قطعة أرض-سكنى,28,25111037.5,806.461993
18087,2019,1,الربع الأول,20191,منطقة الرياض,الرياض,المناخ,قطعة أرض-سكنى,16,12743250.0,540.205928
18094,2021,2,الربع الثانى,20212,منطقة الرياض,الرياض,الملك فهد,قطعة أرض-سكنى,25,34541460.12,2631.403675
18095,2020,3,الربع الثالث,20203,منطقة الرياض,الرياض,الملك فهد,قطعة أرض-سكنى,25,35188195.87,2069.439916
