,yearnumber,quarternumber,quarternamear,quarterid,region_ar,city_ar,district_ar,typecategoryar,deed_counts,RealEstatePrice_SUM,Meter_Price_W_Avg_IQR
19425,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,عريض,قطعة أرض-سكنى,161,11023762.0,128.418041
19426,2023,2,الربع الثانى,20232,منطقة الرياض,الرياض,المهدية,قطعة أرض-سكنى,101,107757360.58,2295.83396
19427,2022,3,الربع الثالث,20223,منطقة الرياض,الرياض,المهدية,قطعة أرض-سكنى,105,106463097.42,2294.442946
19428,2021,4,الربع الرابع,20214,منطقة الرياض,الرياض,المهدية,قطعة أرض-سكنى,254,223699152.86,1771.52555
19429,2021,1,الربع الأول,20211,منطقة الرياض,الرياض,المهدية,قطعة أرض-سكنى,374,254223682.37,1359.002552
19430,2019,3,الربع الثالث,20193,منطقة الرياض,الرياض,المهدية,قطعة أرض-سكنى,487,258026400.88,1036.688864
19454,2023,3,الربع الثالث,20233,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,8,7079431.0,1904.132231
19455,2022,4,الربع الرابع,20224,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,20,6763250.0,622.183989
19456,2022,1,الربع الأول,20221,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,10,5198450.0,1118.894358
19480,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الخزامى,قطعة أرض-سكنى,17,47652220.0,4037.256265
19481,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الخزامى,قطعة أرض-سكنى,7,19726980.0,1338.599617
19482,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الخزامى,قطعة أرض-سكنى,5,28819422.0,
19483,2020,1,الربع الأول,20201,منطقة الرياض,الرياض,الخزامى,قطعة أرض-سكنى,16,43518963.65,3544.598511
19486,2018,2,الربع الثانى,20182,منطقة الرياض,الرياض,الخزامى,قطعة أرض-سكنى,7,11483325.51,3086.614173
19488,2022,2,الربع الثانى,20222,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,7,4700000.0,1474.142097
19489,2021,3,الربع الثالث,20213,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,4,750090.0,
19490,2020,4,الربع الرابع,20204,منطقة الرياض,الرياض,الخالدية,قطعة أرض-سكنى,8,2570625.33,1150.836296
