,front,rooms,lounges,bathrooms,streetWidth,stairs,propertyAge,driverRoom,tent,patio,kitchen,outdoorRoom,garage,duplex,space,apartments,maidRoom,elevator,furnihsed,pool,basement,neighbourhood,location,price,square price
78,شمالية,3,1,3,35.0,0,0,0,0,0,1,0,0,0,160,0,0,0,0,0,0,الحزم,غرب الرياض,560000.0,3500.0
79,غربية,5,-1,4,20.0,0,2,0,0,0,1,0,0,1,252,0,0,0,0,0,0,طويق,غرب الرياض,1000000.0,3968.253968
80,شمالية غربية,7,1,5,30.0,1,0,0,1,1,1,1,0,0,1200,2,1,0,0,0,0,ظهرة لبن,غرب الرياض,6500000.0,5416.666667
81,شرقية,5,3,5,22.0,1,0,0,0,1,1,0,1,0,300,1,1,0,0,0,0,بدر,جنوب الرياض,1180000.0,3933.333333
82,شمالية غربية,5,2,5,15.0,0,0,1,0,1,1,1,1,0,600,0,1,0,0,0,0,الصحافة,شمال الرياض,3600000.0,6000.0
83,شمالية,4,2,5,15.0,0,0,0,1,1,1,1,1,1,200,0,1,0,0,0,0,طويق,غرب الرياض,1100000.0,5500.0
84,شمالية,3,1,2,20.0,0,0,0,1,1,1,0,1,0,480,0,0,0,0,0,0,طويق,غرب الرياض,1350000.0,2812.5
85,شمالية,5,4,5,15.0,0,0,1,0,0,1,0,1,0,312,0,0,1,0,0,0,النرجس,شمال الرياض,2850000.0,9134.615385
86,شمالية,4,3,5,20.0,1,0,0,0,1,1,0,1,1,250,0,1,0,0,0,0,العارض,شمال الرياض,2250000.0,9000.0
90,شمالية,5,3,5,15.0,1,0,0,1,1,1,1,1,0,280,1,1,0,0,0,0,الرمال,شرق الرياض,1350000.0,4821.428571
91,جنوبية,4,1,3,15.0,0,0,0,0,1,1,0,1,0,294,0,0,0,0,0,0,العزيزية,جنوب الرياض,650000.0,2210.884354
92,غربية,5,2,5,19.0,1,0,0,1,1,1,0,1,0,215,0,1,0,0,0,0,العزيزية,جنوب الرياض,950000.0,4418.604651
93,جنوبية,7,2,5,20.0,1,0,1,0,0,1,0,1,0,570,2,1,1,0,0,0,العارض,شمال الرياض,4800000.0,8421.052632
94,شمالية,5,2,5,15.0,0,0,0,1,1,1,0,1,0,250,0,0,0,0,0,0,النرجس,شمال الرياض,2000000.0,8000.0
95,شمالية,5,1,3,15.0,0,0,0,0,1,1,0,1,0,280,0,0,0,0,0,0,العزيزية,جنوب الرياض,630000.0,2250.0
96,شمالية,5,3,5,15.0,0,0,0,1,1,1,1,1,0,280,1,1,1,0,0,0,الرمال,شرق الرياض,1500000.0,5357.142857
97,جنوبية شرقية,4,-1,4,35.0,0,35,0,0,0,1,0,0,0,625,4,0,0,0,0,0,النسيم الغربي,شرق الرياض,1150000.0,1840.0
98,جنوبية غربية,4,2,5,20.0,1,14,1,1,1,1,1,1,0,364,0,1,0,0,0,0,الفلاح,شمال الرياض,3000000.0,8241.758242
99,جنوبية,5,2,5,20.0,1,0,1,1,1,1,1,1,0,700,2,1,0,0,0,0,الرمال,شرق الرياض,2800000.0,4000.0
100,شمالية شرقية,7,4,5,25.0,1,0,1,0,1,1,1,1,0,700,0,1,1,0,1,0,الملقا,شمال الرياض,8200000.0,11714.28571
101,غربية,7,4,5,15.0,1,0,1,0,1,0,1,1,0,390,2,1,1,0,1,0,النرجس,شمال الرياض,3100000.0,7948.717949
102,شرقية,7,2,5,20.0,1,0,0,1,1,1,0,1,1,300,0,1,0,0,0,0,عكاظ,جنوب الرياض,1050000.0,3500.0
103,شمالية غربية,6,2,4,20.0,1,0,0,1,1,1,0,1,0,300,1,0,1,0,0,0,الرمال,شرق الرياض,1400000.0,4666.666667
104,غربية,6,3,5,25.0,1,0,1,0,1,1,1,1,0,600,0,1,1,0,1,0,الملقا,شمال الرياض,5400000.0,9000.0
105,غربية,5,2,5,20.0,1,0,0,1,1,1,1,1,1,200,0,1,0,0,0,0,طويق,غرب الرياض,1030000.0,5150.0
106,شمالية,1,5,5,18.0,0,0,1,1,1,1,0,1,1,280,0,1,0,0,0,0,طيبة,جنوب الرياض,900000.0,3214.285714
107,غربية,6,3,5,20.0,1,0,0,1,1,0,1,1,1,280,0,0,0,0,0,0,طيبة,جنوب الرياض,900000.0,3214.285714
108,شرقية,4,3,4,28.0,1,0,0,1,1,1,0,1,1,225,0,1,0,0,0,0,بدر,جنوب الرياض,850000.0,3777.777778
109,شرقية,5,2,5,15.0,1,0,0,1,1,1,1,1,1,300,0,1,0,0,0,0,طويق,غرب الرياض,1300000.0,4333.333333
